Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
I_Samuel,1,1,ויהי איש אחד מןהרמתים צופים מהר אפרים ושמו אלקנה בןירחם בןאליהוא בןתחו בןצוף אפרתי,"There was a man from Ramathaim of the Zuphites,aRamathaim of the Zuphites Heb. “Ramathaim-zophim.” In 1.19; 2.11; 7.17; 15.34; 19.18, etc., the town is called Ramah; and 9.5ff. shows that it was in the district of Zuph. in the hill country of Ephraim, whose name was Elkanah son of Jeroham son of Elihu son of Tohu son of Zuph, an Ephraimite. ",Ninguno
I_Samuel,1,2,ולו שתי נשים שם אחת חנה ושם השנית פננה ויהי לפננה ילדים ולחנה אין ילדים,"He had two wives, one named Hannah and the other Peninnah; Peninnah had children, but Hannah was childless. ",Ninguno
I_Samuel,1,3,ועלה האיש ההוא מעירו מימים&thinsp;<small></small>&thinsp;ימימה להשתחות ולזבח ליהוה צבאות בשלה ושם שני בניעלי חפני ופנחס כהנים ליהוה,"This manbThis man I.e., he with his household. used to go up from his town every year to worship and to offer sacrifice to GOD of Hosts at Shiloh.—Hophni and Phinehas, the two sons of Eli, were priests of GOD there.",Ninguno
I_Samuel,1,4,ויהי היום ויזבח אלקנה ונתן לפננה אשתו ולכלבניה ובנותיה מנות,"One such day, Elkanah offered a sacrifice. He used to give portions to his wife Peninnah and to all her sons and daughters; ",Ninguno
I_Samuel,1,5,ולחנה יתן מנה אחת אפים כי אתחנה אהב ויהוה סגר רחמה,but to Hannah he would give one portion only—thoughconly—though Meaning of Heb. uncertain. Hannah was his favorite—for GOD had closed her womb. ,Ninguno
I_Samuel,1,6,וכעסתה צרתה גםכעס בעבור הרעמה כיסגר יהוה בעד רחמה,"Moreover, her rival, to make her miserable, would taunt her that GOD had closed her womb. ",Ninguno
I_Samuel,1,7,וכן יעשה שנה בשנה מדי עלתה בבית יהוה כן תכעסנה ותבכה ולא תאכל,"This happeneddThis happened Lit. “Thus he did.” year after year: Every time she went up to the House of GOD, the other would taunt her, so that she wept and would not eat. ",Ninguno
I_Samuel,1,8,ויאמר לה אלקנה אישה חנה למה תבכי ולמה לא תאכלי ולמה ירע לבבך הלוא אנכי טוב לך מעשרה בנים,"Her husband Elkanah said to her, “Hannah, why are you crying and why aren’t you eating? Why are you so sad? Am I not more devoted to you than ten sons?”",Ninguno
I_Samuel,1,9,ותקם חנה אחרי אכלה בשלה ואחרי שתה ועלי הכהן ישב עלהכסא עלמזוזת היכל יהוה,"After they had eaten and drunk at Shiloh, Hannah rose.erose Septuagint adds “and stood before GOD.”—The priest Eli was sitting on the seat near the doorpost of the temple of GOD.— ",Ninguno
I_Samuel,1,10,והיא מרת נפש ותתפלל עליהוה ובכה תבכה,"In her wretchedness, she prayed to GOD, weeping all the while. ",Ninguno
I_Samuel,1,11,ותדר נדר ותאמר יהוה צבאות אםראה תראה&thinsp;<b></b> בעני אמתך וזכרתני ולאתשכח אתאמתך ונתתה לאמתך זרע אנשים ונתתיו ליהוה כלימי חייו ומורה לאיעלה עלראשו,"And she made this vow: “O GOD of Hosts, if You will look upon the suffering of Your maidservant and will remember me and not forget Your maidservant, and if You will grant Your maidservant a child like the othersfthe others I.e., Peninah and Elkanah; cf. Josephus. have, I will dedicate it to GOD for all the days of its life; and no razor shall ever touch its head.”ga child … its head Or “a male child, I will dedicate him to GOD for all the days of his life; and no razor shall ever touch his head.” ",Ninguno
I_Samuel,1,12,והיה כי הרבתה להתפלל לפני יהוה ועלי שמר אתפיה,"As she kept on praying before GOD, Eli watched her mouth. ",Ninguno
I_Samuel,1,13,וחנה היא מדברת עללבה רק שפתיה נעות וקולה לא ישמע ויחשבה עלי לשכרה,"Now Hannah was praying in her heart; only her lips moved, but her voice could not be heard. So Eli thought she was drunk. ",Ninguno
I_Samuel,1,14,ויאמר אליה עלי עדמתי תשתכרין הסירי אתיינך מעליך,"Eli said to her, “How long will you make a drunken spectacle of yourself? Sober up!”hSober up Lit. “Remove your wine from you.” ",Ninguno
I_Samuel,1,15,ותען חנה ותאמר לא אדני אשה קשתרוח אנכי ויין ושכר לא שתיתי ואשפך אתנפשי לפני יהוה,"And Hannah replied, “Oh no, my lord! I am a very unhappy woman. I have drunk no wine or other strong drink, but I have been pouring out my heart to GOD. ",Ninguno
I_Samuel,1,16,אלתתן אתאמתך לפני בתבליעל כימרב שיחי וכעסי דברתי עדהנה,Do not take your maidservant for a worthless woman; I have only been speaking all this time out of my great anguish and distress.”,Ninguno
I_Samuel,1,17,ויען עלי ויאמר לכי לשלום ואלהי ישראל יתן אתשלתך אשר שאלת מעמו,"“Then go in peace,” said Eli, “and may the God of Israel grant you what you have asked.” ",Ninguno
I_Samuel,1,18,ותאמר תמצא שפחתך חן בעיניך ותלך האשה לדרכה ותאכל ופניה לאהיולה עוד,"She answered, “You are most kind to your handmaid.” So the woman left, and she ate, and was no longer downcast. ",Ninguno
