Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Song_of_Songs,1,1,<big>ש</big>יר השירים אשר לשלמה,"The Song of Songs, byaby Or “concerning.” Solomon.",Ninguno
Song_of_Songs,1,2,ישקני מנשיקות פיהו כיטובים דדיך מיין,"Oh, give me of the kisses of your mouth,bOh, give me of the kisses of your mouth Heb. “Let him give me of the kisses of his mouth!” For your love is more delightful than wine.",Ninguno
Song_of_Songs,1,3,לריח שמניך טובים שמן תורק שמך עלכן עלמות אהבוך,"Your ointments yield a sweet fragrance,Your name is like finestcfinest Meaning of Heb. uncertain. oil—Therefore do maidens love you.",Ninguno
Song_of_Songs,1,4,"משכני אחריך נרוצה הביאני המלך חדריו נגילה ונשמחה בך נזכירה דדיך מיין מישרים אהבוך&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Draw me after you, let us run!The king has brought me to his chambers.dThe king has brought me to his chambers Emendation yields “Bring me, O king, to your chambers.” Let us delight and rejoice in your love,Savoring it more than wine—Like new wineenew wine Understanding mesharim as related to tirosh; cf. Aramaic merath. they love you!",Ninguno
Song_of_Songs,1,5,שחורה אני ונאוה בנות ירושל͏ם כאהלי קדר כיריעות שלמה,"I am dark—and beautiful—O daughters of Jerusalem:Like the tents of Kedar,Like the pavilions of Solomon.",Ninguno
Song_of_Songs,1,6,אלתראוני שאני שחרחרת ששזפתני השמש בני אמי נחרובי שמני נטרה אתהכרמים כרמי שלי לא נטרתי,"Don’t stare at me because I’m so dark,Because the sun has gazed upon me.My mother’s sons quarreled with me,They made me guard the vineyards;My own vineyard I did not guard.",Ninguno
Song_of_Songs,1,7,הגידה לי שאהבה נפשי איכה תרעה איכה תרביץ בצהרים שלמה אהיה כעטיה על עדרי חבריך,"Tell me, you whom I love so well;Where do you pasture your sheep?Where do you rest them at noon?Let me not be as one who straysfas one who strays Meaning of Heb. uncertain. Beside the flocks of your fellows.",Ninguno
Song_of_Songs,1,8,"אםלא תדעי לך היפה בנשים צאילך בעקבי הצאן ורעי אתגדיתיך על משכנות הרעים&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","If you do not know, O fairest of women,Go follow the tracks of the sheep,And graze your kidsggraze your kids As a pretext for coming. By the tents of the shepherds.",Ninguno
Song_of_Songs,1,9,לססתי ברכבי פרעה דמיתיך רעיתי,"I have likened you, my darling,To a mare in Pharaoh’s chariots:",Ninguno
Song_of_Songs,1,10,נאוו לחייך בתרים צוארך בחרוזים,"Your cheeks are comely with plaited wreaths,Your neck with strings of jewels.",Ninguno
