Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Deuteronomy,1,1,אלה הדברים אשר דבר משה אלכלישראל בעבר הירדן במדבר בערבה מול סוף ביןפארן וביןתפל ולבן וחצרת ודי זהב,"These are the words that Moses addressed to all Israel on the other side of the Jordan.—Through the wilderness, in the Arabah near Suph, between Paran and Tophel, Laban, Hazeroth, and Di-zahab, ",Separación (Beyn)
Deuteronomy,1,2,אחד עשר יום מחרב דרך הרשעיר עד קדש ברנע,it is eleven days from Horeb to Kadesh-barnea by the Mount Seir route.aThrough the wilderness … by the Mount Seir route This passage is unclear; cf. v. 19 and Num. 33.16–36.— ,Ninguno
Deuteronomy,1,3,ויהי בארבעים שנה בעשתיעשר חדש באחד לחדש דבר משה אלבני ישראל ככל אשר צוה יהוה אתו אלהם,"It was in the fortieth year, on the first day of the eleventh month, that Moses addressed the Israelites in accordance with the instructions that GOD had given him for them, ",Ninguno
Deuteronomy,1,4,אחרי הכתו את סיחן מלך האמרי אשר יושב בחשבון ואת עוג מלך הבשן אשריושב בעשתרת באדרעי,"after he had defeated Sihon king of the Amorites, who dwelt in Heshbon, and King Og of Bashan, who dwelt at Ashtaroth [and]b[and] Cf. Josh. 12.4; 13.12, 31. Edrei. ",Ninguno
Deuteronomy,1,5,בעבר הירדן בארץ מואב הואיל משה באר אתהתורה הזאת לאמר,"On the other side of the Jordan, in the land of Moab, Moses undertook to expound this Teaching. He said:",Ninguno
Deuteronomy,1,6,יהוה אלהינו דבר אלינו בחרב לאמר רבלכם שבת בהר הזה,"The ETERNAL our God spoke to us at Horeb, saying: You have stayed long enough at this mountain. ",Ninguno
Deuteronomy,1,7,פנו&thinsp;<b></b> וסעו לכם ובאו הר האמרי ואלכלשכניו בערבה בהר ובשפלה ובנגב ובחוף הים ארץ הכנעני והלבנון עדהנהר הגדל נהרפרת,"Start out and make your way to the hill country of the Amorites and to all their neighbors in the Arabah, the hill country, the Shephelah, the Negeb, the seacoast, the land of the Canaanites,cland of the Canaanites I.e., Phoenicia. and the Lebanon, as far as the Great River, the river Euphrates. ",Ninguno
Deuteronomy,1,8,ראה נתתי לפניכם אתהארץ באו ורשו אתהארץ אשר נשבע יהוה לאבתיכם לאברהם ליצחק וליעקב לתת להם ולזרעם אחריהם,"See, I place the land at your disposal. Go, take possession of the land that GOD swore to your fathers Abraham, Isaac, and Jacob, to assign to them and to their heirs after them.",Ninguno
Deuteronomy,1,9,ואמר אלכם בעת ההוא לאמר לאאוכל לבדי שאת אתכם,"Thereupon I said to you, “I cannot bear the burden of you by myself. ",Ninguno
Deuteronomy,1,10,יהוה אלהיכם הרבה אתכם והנכם היום ככוכבי השמים לרב,The ETERNAL your God has multiplied you until you are today as numerous as the stars in the sky.—,Ninguno
Deuteronomy,1,11,יהוה אלהי אבותכם יסף עליכם ככם אלף פעמים ויברך אתכם כאשר דבר לכם,"May the ETERNAL, the God of your ancestors, increase your numbers a thousandfold, and bless you as promised.— ",Ninguno
Deuteronomy,1,12,איכה אשא לבדי טרחכם ומשאכם וריבכם,"How can I bear unaided the trouble of you, and the burden, and the bickering! ",Ninguno
Deuteronomy,1,13,הבו לכם אנשים חכמים ונבנים וידעים לשבטיכם ואשימם בראשיכם,"Pick from each of your tribes individuals who are wise, discerning, and experienced, and I will appoint them as your heads.” ",Percepción (Yada)
Deuteronomy,1,14,ותענו אתי ותאמרו טובהדבר אשרדברת לעשות,"You answered me and said, “What you propose to do is good.” ",Ninguno
Deuteronomy,1,15,ואקח אתראשי שבטיכם אנשים חכמים וידעים ואתן אותם ראשים עליכם שרי אלפים ושרי מאות ושרי חמשים ושרי עשרת ושטרים לשבטיכם,"So I took your tribal leaders, wise and experienced men, and appointed them heads over you: chiefs of thousands, chiefs of hundreds, chiefs of fifties, and chiefs of tens, and officials for your tribes. ",Percepción (Yada)
Deuteronomy,1,16,ואצוה אתשפטיכם בעת ההוא לאמר שמע ביןאחיכם ושפטתם צדק ביןאיש וביןאחיו ובין גרו,"I charged your magistrates at that time as follows, “Hear out your fellow Israelites, and decide justly between one party and the other—be it a fellow Israelite or a stranger. ",Separación (Beyn)
Deuteronomy,1,17,לאתכירו פנים במשפט כקטן כגדל תשמעון לא תגורו מפניאיש כי המשפט לאלהים הוא והדבר אשר יקשה מכם תקרבון אלי ושמעתיו,"You shall not be partial in judgment: hear out low and high alike. Fear no one,dno one Or “none of the parties.” for judgment is God’s. And any matter that is too difficult for you, you shall bring to me and I will hear it.” ",Ninguno
Deuteronomy,1,18,ואצוה אתכם בעת ההוא את כלהדברים אשר תעשון,"Thus I instructed you, at that time, about the various things that you should do.",Ninguno
Deuteronomy,1,19,ונסע מחרב ונלך את כלהמדבר הגדול והנורא ההוא אשר ראיתם דרך הר האמרי כאשר צוה יהוה אלהינו אתנו ונבא עד קדש ברנע,"We set out from Horeb and traveled the great and terrible wilderness that you saw, along the road to the hill country of the Amorites, as the ETERNAL our God had commanded us. When we reached Kadesh-barnea, ",Ninguno
Deuteronomy,1,20,ואמר אלכם באתם עדהר האמרי אשריהוה אלהינו נתן לנו,"I said to you, “You have come to the hill country of the Amorites that the ETERNAL our God is giving to us. ",Ninguno
Deuteronomy,1,21,ראה נתן יהוה אלהיך לפניך אתהארץ עלה רש כאשר דבר יהוה אלהי אבתיך לך אלתירא ואלתחת,"See, the ETERNAL your God has placed the land at your disposal. Go up, take possession, as the ETERNAL, the God of your fathers, promised you. Fear not and be not dismayed.”",Ninguno
Deuteronomy,1,22,ותקרבון אלי כלכם ותאמרו נשלחה אנשים לפנינו ויחפרולנו אתהארץ וישבו אתנו דבר אתהדרך אשר נעלהבה ואת הערים אשר נבא אליהן,"Then all of you came to me and said, “Let us send agents ahead to reconnoiter the land for us and bring back word on the route we shall follow and the cities we shall come to.” ",Ninguno
Deuteronomy,1,23,וייטב בעיני הדבר ואקח מכם שנים עשר אנשים איש אחד לשבט,"I approved of the plan, and so I selected twelve of you, one representative from each tribe. ",Ninguno
Deuteronomy,1,24,ויפנו ויעלו ההרה ויבאו עדנחל אשכל וירגלו אתה,"They made for the hill country, came to the wadi Eshcol, and spied it out. ",Ninguno
Deuteronomy,1,25,ויקחו בידם מפרי הארץ ויורדו אלינו וישבו אתנו דבר ויאמרו טובה הארץ אשריהוה אלהינו נתן לנו,They took some of the fruit of the land with them and brought it down to us. And they gave us this report: “It is a good land that the ETERNAL our God is giving to us.”,Ninguno
Deuteronomy,1,26,ולא אביתם לעלת ותמרו אתפי יהוה אלהיכם,"Yet youeyou Addressing the militia, which ostensibly fights on the nation’s behalf. refused to go up, and flouted the command of the ETERNAL your God. ",Ninguno
Deuteronomy,1,27,ותרגנו באהליכם ותאמרו בשנאת יהוה אתנו הוציאנו מארץ מצרים לתת אתנו ביד האמרי להשמידנו,"You sulkedfYou sulked Precise meaning of Heb. watteragnu uncertain. in your tents and said, “It is out of hatred for us that GOD brought us out of the land of Egypt, to hand us over to the Amorites to wipe us out. ",Ninguno
Deuteronomy,1,28,אנה&thinsp;<b></b> אנחנו עלים אחינו המסו אתלבבנו לאמר עם גדול ורם ממנו ערים גדלת ובצורת בשמים וגםבני ענקים ראינו שם,"What kind of placegWhat kind of place Lit. “Where.” are we going to? Our brothers have taken the heart out of us, saying, ‘We saw there a people stronger and taller than we, large cities with walls sky-high, and even Anakites.’”",Ninguno
