Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Job,1,1,איש היה בארץעוץ איוב שמו והיה&thinsp;<b></b> האיש ההוא תם וישר וירא אלהים וסר מרע,There was a man in the land of Uz named Job. That man was blameless and upright; he feared God and shunned evil. ,Ninguno
Job,1,2,ויולדו לו שבעה בנים ושלוש בנות,Seven sons and three daughters were born to him; ,Ninguno
Job,1,3,ויהי מקנהו שבעת אלפיצאן ושלשת אלפי גמלים וחמש מאות צמדבקר וחמש מאות אתונות ועבדה רבה מאד ויהי האיש ההוא גדול מכלבניקדם,"his possessions were seven thousand sheep, three thousand camels, five hundred yoke of oxen and five hundred jennies, and a very large household. That man was wealthier than anyone in the East.",Ninguno
Job,1,4,והלכו בניו ועשו משתה בית איש יומו ושלחו וקראו לשלשת אחיתיהם לאכל ולשתות עמהם,"It was the custom of his sons to hold feasts, each on his set day in his own home. They would invite their three sisters to eat and drink with them. ",Ninguno
Job,1,5,"ויהי כי הקיפו ימי המשתה וישלח איוב ויקדשם והשכים בבקר והעלה עלות מספר כלם כי אמר איוב אולי חטאו בני וברכו אלהים בלבבם ככה יעשה איוב כלהימים&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","When a round of feast days was over, Job would send word to them to sanctify themselves, and, rising early in the morning, he would make burnt offerings, one for each of them; for Job thought, “Perhaps my children have sinned and blasphemed God in their thoughts.” This is what Job always used to do.",Ninguno
Job,1,6,ויהי היום ויבאו בני האלהים להתיצב עליהוה ויבוא גםהשטן בתוכם,"One day the divine beings presented themselves before GOD, and the Adversaryathe Adversary Heb. hassaṭan. came along with them. ",Ninguno
Job,1,7,ויאמר יהוה אלהשטן מאין תבא ויען השטן אתיהוה ויאמר משוט בארץ ומהתהלך בה,"GOD said to the Adversary, “Where have you been?” The Adversary answered GOD, “I have been roaming all over the earth.” ",Ninguno
Job,1,8,ויאמר יהוה אלהשטן השמת לבך עלעבדי איוב כי אין כמהו בארץ איש תם וישר ירא אלהים וסר מרע,"GOD said to the Adversary, “Have you noticed My servant Job? There is no one like him on earth, a blameless and upright man who fears God and shuns evil!” ",Ninguno
Job,1,9,ויען השטן אתיהוה ויאמר החנם ירא איוב אלהים,"The Adversary answered GOD, “Does Job not have good reason to fear God? ",Ninguno
Job,1,10,"הלא<span class=""mam-kq""><span class=""mam-kq-q"">[אתה]</span> <span class=""mam-kq-k"">(את)</span></span> שכת בעדו ובעדביתו ובעד כלאשרלו מסביב מעשה ידיו ברכת ומקנהו פרץ בארץ","Why, it is You who have fenced him round, him and his household and all that he has. You have blessed his efforts so that his possessions spread out in the land. ",Ninguno
Job,1,11,ואולם שלחנא ידך וגע בכלאשרלו אםלא עלפניך יברכך,But lay Your hand upon all that he has and he will surely blaspheme You to Your face.” ,Ninguno
Job,1,12,ויאמר יהוה אלהשטן הנה כלאשרלו בידך רק אליו אלתשלח ידך ויצא השטן מעם פני יהוה,"GOD replied to the Adversary, “See, all that he has is in your power; only do not lay a hand on him.” The Adversary departed from GOD’s presence.",Ninguno
Job,1,13,ויהי היום ובניו ובנתיו אכלים ושתים יין בבית אחיהם הבכור,"One day, as his sons and daughters were eating and drinking wine in the house of their eldest brother, ",Ninguno
Job,1,14,ומלאך בא אלאיוב ויאמר הבקר היו חרשות והאתנות רעות עלידיהם,"a messenger came to Job and said, “The oxen were plowing and the jennies were grazing alongside them ",Ninguno
Job,1,15,ותפל שבא ותקחם ואתהנערים הכו לפיחרב ואמלטה רקאני לבדי להגיד לך,"when Sabeans attacked them and carried them off, and put the attendants to the sword; I alone have escaped to tell you.” ",Ninguno
Job,1,16,עוד&thinsp;<b></b> זה מדבר וזה בא ויאמר אש אלהים נפלה מןהשמים ותבער בצאן ובנערים ותאכלם ואמלטה רקאני לבדי להגיד לך,"This one was still speaking when another came and said, “God’s fire fell from heaven, took hold of the sheep and the attendants, and burned them up; I alone have escaped to tell you.” ",Ninguno
Job,1,17,עוד&thinsp;<b></b> זה מדבר וזה בא ויאמר כשדים שמו&thinsp;<b></b> שלשה ראשים ויפשטו עלהגמלים ויקחום ואתהנערים הכו לפיחרב ואמלטה רקאני לבדי להגיד לך,"This one was still speaking when another came and said, “A Chaldean formation of three columns made a raid on the camels and carried them off and put the attendants to the sword; I alone have escaped to tell you.” ",Ninguno
Job,1,18,עד זה מדבר וזה בא ויאמר בניך ובנותיך אכלים ושתים יין בבית אחיהם הבכור,"This one was still speaking when another came and said, “Your sons and daughters were eating and drinking wine in the house of their eldest brother ",Ninguno
Job,1,19,והנה רוח גדולה באה&thinsp;<b></b> מעבר המדבר ויגע בארבע פנות הבית ויפל עלהנערים וימותו ואמלטה רקאני לבדי להגיד לך,when suddenly a mighty wind came from the wilderness. It struck the four corners of the house so that it collapsed upon the young people and they died; I alone have escaped to tell you.”,Ninguno
Job,1,20,ויקם איוב ויקרע אתמעלו ויגז אתראשו ויפל ארצה וישתחו,"Then Job arose, tore his robe, cut off his hair, and threw himself on the ground and worshiped. ",Ninguno
Job,1,21,ויאמר ערם יצתי מבטן אמי וערם אשוב שמה יהוה נתן ויהוה לקח יהי שם יהוה מברך,"He said, “Naked came I out of my mother’s womb, and naked shall I return there; GOD has given, and GOD has taken away; blessed be GOD’s name.”",Ninguno
Job,1,22,"בכלזאת לאחטא איוב ולאנתן תפלה לאלהים&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","For all that, Job did not sin nor did he cast reproach on God.",Ninguno
Job,2,1,ויהי היום ויבאו בני האלהים להתיצב עליהוה ויבוא גםהשטן בתכם להתיצב עליהוה,One day the divine beings presented themselves before GOD. The Adversary came along with them to present himself before GOD. ,Ninguno
