Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Hosea,1,1,דבריהוה&thinsp;<b></b> אשר היה אלהושע בןבארי בימי עזיה יותם אחז יחזקיה מלכי יהודה ובימי ירבעם בןיואש מלך ישראל,"The word of GOD that came to Hosea son of Beeri, in the reigns of Kings Uzziah, Jotham, Ahaz, and Hezekiah of Judah, and in the reign of King Jeroboam son of Joash of Israel.",Ninguno
Hosea,1,2,"תחלת דבריהוה בהושע&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>ויאמר יהוה אלהושע לך קחלך אשת זנונים וילדי זנונים כיזנה תזנה הארץ מאחרי יהוה","When GOD first spoke to Hosea, GOD said to Hosea, “Go, get yourself a wife of whoredom and children of whoredom; for the land will strayastray Lit. “whore away.” from following GOD.”ba wife of whoredom and children of whoredom; for the land will stray from following GOD Force of Heb. uncertain. ",Ninguno
Hosea,1,3,וילך ויקח אתגמר בתדבלים ותהר ותלדלו בן,"So he went and married Gomer daughter of Diblaim. She conceived and bore him a son, ",Ninguno
Hosea,1,4,ויאמר יהוה אליו קרא שמו יזרעאל כיעוד מעט ופקדתי אתדמי יזרעאל עלבית יהוא והשבתי ממלכות בית ישראל,"and GOD instructed him, “Name him Jezreel; for, I will soon punish the House of JehucJehu Emendation yields “Israel”; cf. next note. for the bloody deeds at Jezreeldbloody deeds at Jezreel See 1 Kings 21.1–24; 2 Kings 9.21–35. Emendation yields “the Baal days”; cf. 2.15. and put an end to the monarchy of the House of Israel. ",Ninguno
Hosea,1,5,והיה ביום ההוא ושברתי אתקשת ישראל בעמק יזרעאל,"In that day, I will break the bow of Israel in the Valley of Jezreel.”",Ninguno
Hosea,1,6,ותהר עוד ותלד בת ויאמר לו קרא שמה לא רחמה כי לא אוסיף עוד ארחם אתבית ישראל כינשא אשא להם,"She conceived again and bore a daughter; and he was told, “Name her Lo-ruhamah;eLo-ruhamah I.e., “Not-accepted” or “Unpitied”; cf. 2.3, 6, 25. for I will no longer accept the House of Israel or pardon them.for pardon them Meaning of Heb. uncertain; emendation yields “but will disown them”; cf. 9.15 and elsewhere. ",Ninguno
Hosea,1,7,ואתבית יהודה ארחם והושעתים ביהוה אלהיהם ולא אושיעם בקשת ובחרב ובמלחמה בסוסים ובפרשים,"(But I will accept the House of Judah. And I will give them victory through the ETERNAL their God; I will not give them victory with bow and sword and battle, by horses and riders.)”",Ninguno
Hosea,1,8,ותגמל אתלא רחמה ותהר ותלד בן,"After weaning Lo-ruhamah, she conceived and bore a son. ",Ninguno
Hosea,1,9,"ויאמר קרא שמו לא עמי כי אתם לא עמי ואנכי לאאהיה לכם&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Then [God] said, “Name him Lo-ammi;gLo-ammi I.e., “Not-My-People.” for youhyou I.e., you and your fellow countrymen. are not My people, and I will not be your [God].”iI will not be your [God] Cf. 2.25. ",Ninguno
Hosea,2,1,והיה מספר בניישראל כחול הים אשר לאימד ולא יספר והיה במקום אשריאמר להם לאעמי אתם יאמר להם בני אלחי,"aVv. 1–3 anticipate the conclusion of the chapter. The number of the people of Israel shall be like that of the sands of the sea, which cannot be measured or counted; and instead of being told, “You are Not-My-People,”bYou are Not-My-People See 1.9. they shall be called Children-of-the-Living-God. ",Ninguno
Hosea,2,2,ונקבצו בנייהודה ובניישראל יחדו ושמו להם ראש אחד ועלו מןהארץ כי גדול יום יזרעאל,"The people of Judah and the people of Israel shall assemble together and appoint one head over them; and they shall rise from the groundcfrom the ground Meaning, perhaps, “from their wretched condition,” or “to ascendancy over the land.”—for marvelous shall be the day of Jezreel!dthe day of Jezreel I.e., the day when the name Jezreel will convey a promise (2.23–25) instead of a threat (1.4–5). ",Ninguno
Hosea,2,3,אמרו לאחיכם עמי ולאחותיכם רחמה,"Oh, callecall GOD addresses Hosea and his fellow North Israelites; see 1.9. The mother is the nation; her children the individual North Israelites. your brothers “My People,”And your sisters “Lovingly Accepted!”",Ninguno
Hosea,2,4,ריבו באמכם ריבו כיהיא לא אשתי ואנכי לא אישה ותסר זנוניה מפניה ונאפופיה מבין שדיה,"fSee preceding note. In this passage, GOD speaks as if in a family quarrel, or in a court of law. Remonstrate your mother, remonstrate her—For she is not My wifeAnd I am not her husbandgshe is not My wife / And I am not her husband A declaration of divorce.—And let her put away her whoredom from her faceAnd her adultery from between her breasts.",Separación (Beyn)
Hosea,2,5,פןאפשיטנה ערמה והצגתיה כיום הולדה ושמתיה כמדבר ושתה כארץ ציה והמתיה בצמא,"Else will I strip her nakedAnd leave her as on the day she was born:And I will make her like a wilderness,Render her like desert land,And let her die of thirst.",Ninguno
Hosea,2,6,ואתבניה לא ארחם כיבני זנונים המה,"I will also disown her children;For they are now a whore’s brood,",Ninguno
Hosea,2,7,כי זנתה אמם הבישה הורתם כי אמרה אלכה אחרי מאהבי נתני לחמי ומימי צמרי ופשתי שמני ושקויי,"In that their mother has played the whore,She that conceived them has acted shamelessly—Because she thought,“I will go after my lovers,Who supply my bread and my water,My wool and my linen,My oil and my drink.”",Ninguno
Hosea,2,8,לכן הננישך אתדרכך בסירים וגדרתי אתגדרה ונתיבותיה לא תמצא,"Assuredly,I will hedge up herhher Heb. “your.” Vv. 8–9 would read well after v. 15. roads with thornsAnd raise walls against her,And she shall not find her paths.",Ninguno
Hosea,2,9,ורדפה אתמאהביה ולאתשיג אתם ובקשתם ולא תמצא ואמרה אלכה ואשובה אלאישי הראשון כי טוב לי אז מעתה,"Pursue her lovers as she will,She shall not overtake them;And seek them as she may,She shall never find them.Then she will say,“I will go and returnTo my first husband,For then I fared better than now.”",Ninguno
Hosea,2,10,והיא לא ידעה כי אנכי נתתי לה הדגן והתירוש והיצהר וכסף הרביתי לה וזהב עשו לבעל,And she did not consider this:It was I who bestowed on herThe new grain and wine and oil;I who lavished silver on herAnd gold—which they used for Baal.,Percepción (Yada)
Hosea,2,11,לכן אשוב ולקחתי דגני בעתו ותירושי במועדו והצלתי צמרי ופשתי לכסות אתערותה,"Assuredly,I will take back My new grain in its timeAnd My new wine in its season,And I will snatch away My wool and My linenThat serve to cover her nakedness.",Ninguno
Hosea,2,12,ועתה אגלה אתנבלתה לעיני מאהביה ואיש לאיצילנה מידי,"Now will I uncover her shameIn the very sight of her lovers,And none shall save her from Me.",Ninguno
Hosea,2,13,והשבתי כלמשושה חגה חדשה ושבתה וכל מועדה,"And I will end all her rejoicing:Her festivals, new moons, and sabbaths—All her festive seasons.",Ninguno
Hosea,2,14,והשמתי גפנה ותאנתה אשר אמרה אתנה המה לי אשר נתנולי מאהבי ושמתים ליער ואכלתם חית השדה,"I will lay waste her vines and her fig trees,Which she thinks are a feeShe received from her lovers;I will turn them into brushwood,And beasts of the field shall devour them.",Ninguno
Hosea,2,15,"ופקדתי עליה אתימי הבעלים אשר תקטיר להם ותעד נזמה וחליתה ותלך אחרי מאהביה ואתי שכחה נאםיהוה&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Thus will I punish herFor the days of the Baalim,On which she brought them offerings;When, decked with earrings and jewels,She would go after her lovers,Forgetting Me—declares  GOD.",Ninguno
Hosea,2,16,לכן הנה אנכי מפתיה והלכתיה המדבר ודברתי עללבה,"Assuredly,I will speak coaxingly to herAnd lead her through the wildernessiwilderness I.e., her ravaged land (see vv. 5, 10–11, 14); so Ibn Ezra. And speak to her tenderly.",Ninguno
Hosea,2,17,ונתתי לה אתכרמיה משם ואתעמק עכור לפתח תקוה וענתה שמה כימי נעוריה וכיום עלותה מארץמצרים,"I will give her her vineyards from there,And the Valley of AchorjValley of Achor A desolate region; cf. Isa. 65.10; see further Josh. 7.25–26. as a plowland of hope.kplowland of hope Connecting pethaḥ with pittaḥ “to plow” (see Isa. 28.24). Meaning of Heb. uncertain; in contrast to others “door of hope.” There she shall respond as in the days of her youth,When she came up from the land of Egypt.",Ninguno
Hosea,2,18,והיה ביוםההוא נאםיהוה תקראי אישי ולאתקראילי עוד בעלי,"And in that day—declares  GOD—You will call [Me] Ishi,lIshi I.e., “my husband.” And no more will you call Me Baali.mBaali Like Ishi, Baali means “my husband,” but it also means “my Baal.” ",Ninguno
Hosea,2,19,והסרתי אתשמות הבעלים מפיה ולאיזכרו עוד בשמם,"For I will remove the names of the Baalim from her mouth,And they shall nevermore be mentioned by name.",Ninguno
Hosea,2,20,וכרתי להם ברית ביום ההוא עםחית השדה ועםעוף השמים ורמש האדמה וקשת וחרב ומלחמה אשבור מןהארץ והשכבתים לבטח,"In that day, I will make a covenant for them with the beasts of the field, the birds of the air, and the creeping things of the ground; I will also banishnbanish Lit. “break.” bow, sword, and war from the land. Thus I will let them lie down in safety.",Ninguno
Hosea,2,21,וארשתיך לי לעולם וארשתיך לי בצדק ובמשפט ובחסד וברחמים,"And I will espouse you forever:I will espouse you with righteousness and justice,And with goodness and mercy,",Ninguno
Hosea,2,22,"וארשתיך לי באמונה וידעת אתיהוה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","And I will espouse you with faithfulness;owith righteousness and justice,…with goodness and mercy,…with faithfulness As the bride-price to be paid upon marriage, the bridegroom (GOD) will confer these qualities on the bride (the people of Israel), which she had lacked during their first marriage, so that their second one will last forever. Then you shall be devoted to  GOD.",Percepción (Yada)
Hosea,2,23,והיה&thinsp;<b></b> ביום ההוא אענה נאםיהוה אענה אתהשמים והם יענו אתהארץ,"In that day,I will respond—declares  GOD—I will respond to the sky,And it shall respond to the earth;",Ninguno
Hosea,2,24,והארץ תענה אתהדגן ואתהתירוש ואתהיצהר והם יענו אתיזרעאל,"And the earth shall respondWith new grain and wine and oil,And they shall respond to Jezreel.pJezreel I.e., “God sows.” The names of Hosea’s children (1.3–8) are applied here to Israel. ",Ninguno
Hosea,2,25,"וזרעתיה לי בארץ ורחמתי אתלא רחמה ואמרתי ללאעמי עמיאתה והוא יאמר אלהי&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","I will sow her in the land as My own;And take Lo-ruhamah back in favor;And I will say to Lo-ammi, “You are My people,”And he will respond, “[You are] my God.”",Ninguno
Hosea,3,1,ויאמר יהוה אלי עוד לך אהבאשה אהבת רע ומנאפת כאהבת יהוה אתבני ישראל והם פנים אלאלהים אחרים ואהבי אשישי ענבים,"GOD
 said to me further, “Go, befriend a woman who, while befriendedabefriend…befriended For this sense, see Deut. 10.19. by a companion, consorts with others, just as GOD befriends the Israelites,bjust as GOD befriends the Israelites See Hos. 2.10. but they turn to other gods and love the cups of the grape.”cto other gods and love the cups of the grape Meaning of Heb. uncertain; emendation yields “‘to other gods.’ And so I befriended a woman of lust.” ",Ninguno
Hosea,3,2,ואכרה לי בחמשה עשר כסף וחמר שערים ולתך שערים,"Then I hired her for fifteen [shekels of] silver, a ḥomer of barley, and a lethech of barley;da lethech of barley Septuagint reads “a jar of wine.” ",Ninguno
Hosea,3,3,ואמר אליה ימים רבים תשבי לי לא תזני ולא תהיי לאיש וגםאני אליך,"and I stipulated with her, “In return,eIn return Lit. “for me.” you are to go a long time without either fornicating or marrying; even I [shall not cohabit] with you.”",Ninguno
Hosea,3,4,כי&thinsp;<b></b> ימים רבים ישבו בני ישראל אין מלך ואין שר ואין זבח ואין מצבה ואין אפוד ותרפים,"For the Israelites shall go a long time without king and without officials, without sacrificefsacrifice Emendation yields “altar.” and without cult pillars, and without ephod and oracle idols. ",Ninguno
Hosea,3,5,"אחר ישבו בני ישראל ובקשו אתיהוה אלהיהם ואת דויד מלכם ופחדו אליהוה ואלטובו באחרית הימים&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Afterward, the Israelites will turn back and will seek the ETERNAL their God and David their king—and they will thrill over GOD and over God’s bounty in the days to come.",Ninguno
Hosea,4,1,שמעו דבריהוה בני ישראל כי ריב ליהוה עםיושבי הארץ כי איןאמת ואיןחסד ואיןדעת אלהים בארץ,"Hear the word of  GOD,O people of Israel!For  GOD has a caseAgainst the inhabitants of this land,Because there is no honesty and no goodnessAnd no devotion to God in the land.",Ninguno
Hosea,4,2,אלה וכחש ורצח וגנב ונאף פרצו ודמים בדמים נגעו,"[False] swearing, dishonesty, and murder,And theft and adultery are rife;Crime follows upon crime!",Ninguno
Hosea,4,3,עלכן&thinsp;<b></b> תאבל הארץ ואמלל כליושב בה בחית השדה ובעוף השמים וגםדגי הים יאספו,"For that, the earth is withered:Everything that dwells on it languishes—Beasts of the field and birds of the sky—Even the fish of the sea perish.",Ninguno
Hosea,4,4,אך איש אלירב ואליוכח איש ועמך כמריבי כהן,"“Let no one rebuke; let no one protest!”For this, your people has a grievance against [you], O priest!aFor this, your people has a grievance against [you], O priest! For failing to reprove; but meaning of Heb. uncertain. ",Ninguno
Hosea,4,5,וכשלת היום וכשל גםנביא עמך לילה ודמיתי אמך,"So you shall stumble by day,And by night a prophetba prophet Emendation yields “your children”; cf. v. 6 end. shall stumble as well,And I will destroy your kindred.ckindred Lit. “mother.” ",Ninguno
Hosea,4,6,"נדמו עמי מבלי הדעת כיאתה הדעת מאסת <span class=""mam-kq""><span class=""mam-kq-k"">(ואמאסאך)</span> <span class=""mam-kq-q"">[ואמאסך]</span></span> מכהן לי ותשכח תורת אלהיך אשכח בניך גםאני","My people is destroyed for the lack of devotion!Because you have rejected devotion,I reject you as My priest;Because you have spurned the teaching of your God,I, in turn, will spurn your children.",Ninguno
Hosea,4,7,כרבם כן חטאולי כבודם בקלון אמיר,"The more they increased, the more they sinned against Me:I will change their dignity to dishonor.",Ninguno
Hosea,4,8,חטאת עמי יאכלו ואלעונם ישאו נפשו,"They feed on My people’s purgation offerings,And so they desire its iniquity.",Ninguno
Hosea,4,9,והיה כעם ככהן ופקדתי עליו דרכיו ומעלליו אשיב לו,"Therefore, the people shall fare like the priests:I will punish it for its conduct,I will requite it for its deeds.",Ninguno
Hosea,4,10,ואכלו ולא ישבעו הזנו ולא יפרצו כיאתיהוה עזבו לשמר,"Truly, they shall eat, but not be sated;They shall swill,dswill For this meaning of hiznah cf. v. 18. but not be satisfied,Because they have forsaken  GOD To practiceepractice Cf. 12.7. ",Ninguno
Hosea,4,11,זנות ויין ותירוש יקחלב,lechery.WinefWine Emendation yields “New grain”; cf. 7.14; 9.1–2. and new wine destroyThe mind of ,Ninguno
Hosea,4,12,עמי בעצו ישאל ומקלו יגיד לו כי רוח זנונים התעה ויזנו מתחת אלהיהם,"My people:It consults its stick,gstick I.e., its phallus, meaning “its lust.” Its rodhrod I.e., its phallus, meaning “its lust.” directs it!A lecherous impulse has made them go wrong,And they have strayedistrayed See note at 1.2. from submission to their God.",Ninguno
Hosea,4,13,עלראשי ההרים יזבחו ועלהגבעות יקטרו תחת אלון ולבנה ואלה כי טוב צלה עלכן תזנינה בנותיכם וכלותיכם תנאפנה,"They sacrifice on the mountaintopsAnd offer on the hills,Under oaks, poplars, and terebinthsWhose shade is so pleasant.That is why theirjtheir Heb. “your,” here and through v. 14. daughters fornicateAnd their daughters-in-law commit adultery!",Ninguno
