Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Exodus,1,1,ואלה שמות בני ישראל הבאים מצרימה את יעקב איש וביתו באו,"These are the names of the sons of Israel who came to Egypt with Jacob, each coming with his household: ",Ninguno
Exodus,1,2,ראובן שמעון לוי ויהודה,"Reuben, Simeon, Levi, and Judah; ",Ninguno
Exodus,1,3,יששכר זבולן ובנימן,"Issachar, Zebulun, and Benjamin; ",Ninguno
Exodus,1,4,דן ונפתלי גד ואשר,"Dan and Naphtali, Gad and Asher. ",Ninguno
Exodus,1,5,ויהי כלנפש יצאי ירךיעקב שבעים נפש ויוסף היה במצרים,"The total number of persons that were of Jacob’s issue came to seventy, Joseph being already in Egypt. ",Ninguno
Exodus,1,6,וימת יוסף וכלאחיו וכל הדור ההוא,"Joseph died, and all his brothers, and all that generation. ",Ninguno
Exodus,1,7,"ובני ישראל פרו וישרצו וירבו ויעצמו במאד מאד ותמלא הארץ אתם&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","But the Israelites were fertile and prolific; they multiplied and increased very greatly, so that the land was filled with them.",Ninguno
Exodus,1,8,ויקם מלךחדש עלמצרים אשר לאידע אתיוסף,A new king arose over Egypt who did not know Joseph.,Percepción (Yada)
Exodus,1,9,ויאמר אלעמו הנה עם בני ישראל רב ועצום ממנו,"And he said to his people, “Look, the Israelite people are much too numerous for us. ",Ninguno
Exodus,1,10,הבה נתחכמה לו פןירבה והיה כיתקראנה מלחמה ונוסף גםהוא עלשנאינו ונלחםבנו ועלה מןהארץ,"Let us deal shrewdly with them, so that they may not increase; otherwise in the event of war they may join our enemies in fighting against us and rise from the ground.”arise from the ground Meaning, perhaps, from their wretched condition, cf. Hos. 2.2; or “gain ascendancy over the country.” In contrast to others “get them up out of the land.” ",Ninguno
Exodus,1,11,וישימו עליו שרי מסים למען ענתו בסבלתם ויבן ערי מסכנות לפרעה אתפתם ואתרעמסס,So they set taskmasters over them to oppress them with forced labor; and they built garrison cities for Pharaoh: Pithom and Raamses.,Ninguno
Exodus,1,12,וכאשר יענו אתו כן ירבה וכן יפרץ ויקצו מפני בני ישראל,"But the more they were oppressed, the more they increased and spread out, so that the [Egyptians] came to dread the Israelites.",Ninguno
Exodus,1,13,ויעבדו מצרים אתבני ישראל בפרך,The Egyptians ruthlessly imposed upon the Israelites,Ninguno
Exodus,1,14,וימררו אתחייהם בעבדה קשה בחמר ובלבנים ובכלעבדה בשדה את כלעבדתם אשרעבדו בהם בפרך,the various labors that they made them perform. Ruthlesslybthe various labors that they made them perform. Ruthlessly Moved up from the end of the verse for clarity. they made life bitter for them with harsh labor at mortar and bricks and with all sorts of tasks in the field.,Ninguno
Exodus,1,15,ויאמר מלך מצרים למילדת העברית אשר שם האחת שפרה ושם השנית פועה,"The king of Egypt spoke to the Hebrew midwives, one of whom was named Shiphrah and the other Puah, ",Ninguno
Exodus,1,16,ויאמר בילדכן אתהעבריות וראיתן עלהאבנים אםבן הוא והמתן אתו ואםבת הוא וחיה,"saying, “When you deliver the Hebrew women, look at the birthstool:cbirthstool More precisely, the brick or stone supports used by Egyptian women during childbirth. if it is a boy, kill him; if it is a girl, let her live.” ",Ninguno
Exodus,1,17,ותיראן המילדת אתהאלהים ולא עשו כאשר דבר אליהן מלך מצרים ותחיין אתהילדים,"The midwives, fearing God, did not do as the king of Egypt had told them; they let the boys live. ",Ninguno
Exodus,1,18,ויקרא מלךמצרים למילדת ויאמר להן מדוע עשיתן הדבר הזה ותחיין אתהילדים,"So the king of Egypt summoned the midwives and said to them, “Why have you done this thing, letting the boys live?” ",Ninguno
Exodus,1,19,"ותאמרן המילדת אלפרעה כי לא כנשים המצרית העברית כיחיות הנה בטרם תבוא אלהן<sup class=""footnote-marker"">*</sup><i class=""footnote"">(בכתר ארם צובה היה כתוב אליהן)</i> המילדת וילדו","The midwives said to Pharaoh, “Because the Hebrew women are not like the Egyptian women: they are vigorous. Before the midwife can come to them, they have given birth.” ",Ninguno
Exodus,1,20,וייטב אלהים למילדת וירב העם ויעצמו מאד,And God dealt well with the midwives; and the people multiplied and increased greatly.,Ninguno
Exodus,1,21,ויהי כייראו המילדת אתהאלהים ויעש להם בתים,"And [God] established householdsdhouseholds Meaning of Heb. batim uncertain. for the midwives, because they feared God. ",Ninguno
Exodus,1,22,"ויצו פרעה לכלעמו לאמר כלהבן הילוד היארה תשליכהו וכלהבת תחיון&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Then Pharaoh charged all his people, saying, “Every boy that is born you shall throw into the Nile, but let every girl live.”",Ninguno
Exodus,2,1,וילך איש מבית לוי ויקח אתבתלוי,A certain member of the house of Levi went and took to wife a woman of Levi.,Ninguno
Exodus,2,2,ותהר האשה ותלד בן ותרא אתו כיטוב הוא ותצפנהו שלשה ירחים,"The woman conceived and bore a son; and when she saw how beautiful he was, she hid him for three months. ",Ninguno
Exodus,2,3,ולאיכלה עוד הצפינו ותקחלו תבת גמא ותחמרה בחמר ובזפת ותשם בה אתהילד ותשם בסוף עלשפת היאר,"When she could hide him no longer, she got a wicker basket for him and caulked it with bitumen and pitch. She put the child into it and placed it among the reeds by the bank of the Nile. ",Ninguno
Exodus,2,4,ותתצב אחתו מרחק לדעה מהיעשה לו,"And his sister stationed herself at a distance, to learn what would befall him.",Ninguno
Exodus,2,5,ותרד בתפרעה לרחץ עלהיאר ונערתיה הלכת עליד היאר ותרא אתהתבה בתוך הסוף ותשלח אתאמתה ותקחה,"The daughter of Pharaoh came down to bathe in the Nile, while her maidens walked along the Nile. She spied the basket among the reeds and sent her handmaid to fetch it. ",Ninguno
Exodus,2,6,ותפתח ותראהו אתהילד והנהנער בכה ותחמל עליו ותאמר מילדי העברים זה,"When she opened it, she saw that it was a child, a boy crying. She took pity on it and said, “This must be a Hebrew child.” ",Ninguno
Exodus,2,7,ותאמר אחתו אלבתפרעה האלך וקראתי לך אשה מינקת מן העברית ותינק לך אתהילד,"Then his sister said to Pharaoh’s daughter, “Shall I go and get you a Hebrew nurse to suckle the child for you?” ",Ninguno
Exodus,2,8,ותאמרלה בתפרעה לכי ותלך העלמה ותקרא אתאם הילד,"And Pharaoh’s daughter answered, “Yes.” So the girl went and called the child’s mother. ",Ninguno
Exodus,2,9,ותאמר לה בתפרעה היליכי אתהילד הזה והינקהו לי ואני אתן אתשכרך ותקח האשה הילד ותניקהו,"And Pharaoh’s daughter said to her, “Take this child and nurse it for me, and I will pay your wages.” So the woman took the child and nursed it. ",Ninguno
Exodus,2,10,ויגדל הילד ותבאהו לבתפרעה ויהילה לבן ותקרא שמו משה ותאמר כי מןהמים משיתהו,"When the child grew up, she brought him to Pharaoh’s daughter, who made him her son. She named him Moses,aMoses Heb. Mosheh from Egyptian for “born of”; here associated with mashah “draw out.” explaining, “I drew him out of the water.”",Ninguno
Exodus,2,11,ויהי&thinsp;<b></b> בימים ההם ויגדל משה ויצא אלאחיו וירא בסבלתם וירא איש מצרי מכה אישעברי מאחיו,"Some time after that, when Moses had grown up, he went out to his kinsfolk and witnessed their labors. He saw an Egyptian beating a Hebrew, one of his kinsmen. ",Ninguno
Exodus,2,12,ויפן כה וכה וירא כי אין איש ויך אתהמצרי ויטמנהו בחול,"He turned this way and that and, seeing no one about, he struck down the Egyptian and hid him in the sand. ",Ninguno
Exodus,2,13,ויצא ביום השני והנה שניאנשים עברים נצים ויאמר לרשע למה תכה רעך,"When he went out the next day, he found two Hebrews fighting; so he said to the offender, “Why do you strike your fellow?” ",Ninguno
Exodus,2,14,ויאמר מי שמך לאיש שר ושפט עלינו הלהרגני אתה אמר כאשר הרגת אתהמצרי ויירא משה ויאמר אכן נודע הדבר,"He retorted, “Who made you chief and ruler over us? Do you mean to kill me as you killed the Egyptian?” Moses was frightened, and thought: Then the matter is known! ",Ninguno
Exodus,2,15,וישמע פרעה אתהדבר הזה ויבקש להרג אתמשה ויברח משה מפני פרעה וישב בארץמדין וישב עלהבאר,"When Pharaoh learned of the matter, he sought to kill Moses; but Moses fled from Pharaoh. He arrivedbarrived Lit. “sat” or “settled.” in the land of Midian, and sat down beside a well.",Ninguno
Exodus,2,16,ולכהן מדין שבע בנות ותבאנה ותדלנה ותמלאנה אתהרהטים להשקות צאן אביהן,"Now the priest of Midian had seven daughters. They came to draw water, and filled the troughs to water their father’s flock; ",Ninguno
Exodus,2,17,ויבאו הרעים ויגרשום ויקם משה ויושען וישק אתצאנם,"but shepherds came and drove them off. Moses rose to their defense, and he watered their flock. ",Ninguno
Exodus,2,18,ותבאנה אלרעואל אביהן ויאמר מדוע מהרתן בא היום,"When they returned to their father Reuel, he said, “How is it that you have come back so soon today?” ",Ninguno
Exodus,2,19,ותאמרן איש מצרי הצילנו מיד הרעים וגםדלה דלה לנו וישק אתהצאן,"They answered, “An Egyptian rescued us from the shepherds; he even drew water for us and watered the flock.” ",Ninguno
Exodus,2,20,ויאמר אלבנתיו ואיו למה זה עזבתן אתהאיש קראן לו ויאכל לחם,"He said to his daughters, “Where is he then? Why did you leave the man? Ask him in to break bread.” ",Ninguno
