Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Judges,1,1,ויהי אחרי מות יהושע וישאלו בני ישראל ביהוה לאמר מי יעלהלנו אלהכנעני בתחלה להלחם בו,"After the death of Joshua, the Israelites inquired of GOD, “Which of us shall be the first to go up against the Canaanites and attack them?” ",Ninguno
Judges,1,2,ויאמר יהוה יהודה יעלה הנה נתתי אתהארץ בידו," GOD replied, “Let [the tribe of] Judah go up. I now deliver the land into their hands.” ",Ninguno
Judges,1,3,ויאמר יהודה לשמעון אחיו עלה אתי בגרלי ונלחמה בכנעני והלכתי גםאני אתך בגורלך וילך אתו שמעון,"Judah then said to their brother-tribe Simeon, “Come up with us to our allotted territory and let us attack the Canaanites, and then we will go with you to your allotted territory.” So Simeon joined them.",Ninguno
Judges,1,4,ויעל יהודה ויתן יהוה אתהכנעני והפרזי בידם ויכום בבזק עשרת אלפים איש,"When Judah advanced, GOD delivered the Canaanites and the Perizzites into their hands, and they defeated ten thousand of them at Bezek. ",Ninguno
Judges,1,5,וימצאו אתאדני בזק בבזק וילחמו בו ויכו אתהכנעני ואתהפרזי,"At Bezek, they encountered Adoni-bezek, engaged him in battle, and defeated the Canaanites and the Perizzites. ",Ninguno
Judges,1,6,וינס אדני בזק וירדפו אחריו ויאחזו אותו ויקצצו אתבהנות ידיו ורגליו,"Adoni-bezek fled, but they pursued him and captured him; and they cut off his thumbs and his big toes. ",Ninguno
Judges,1,7,"ויאמר אדניבזק שבעים&thinsp;<small></small>&thinsp;מלכים בהנות ידיהם ורגליהם מקצצים היו מלקטים תחת שלחני כאשר עשיתי כן שלםלי אלהים ויביאהו ירושל͏ם וימת שם&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","And Adoni-bezek said, “Seventy kings, with thumbs and big toes cut off, used to pick up scraps under my table; as I have done, so God has requited me.” They brought him to Jerusalem and he died there.",Ninguno
Judges,1,8,וילחמו בנייהודה בירושל͏ם וילכדו אותה ויכוה לפיחרב ואתהעיר שלחו באש,The Judahites attacked Jerusalem and captured it; they put it to the sword and set the city on fire.,Ninguno
Judges,1,9,ואחר ירדו בני יהודה להלחם בכנעני יושב ההר והנגב והשפלה,"After that the Judahites went down to attack the Canaanites who inhabited the hill country, the Negeb, and the Shephelah.",Ninguno
Judges,1,10,וילך יהודה אלהכנעני היושב בחברון ושםחברון לפנים קרית ארבע ויכו אתששי ואתאחימן ואתתלמי,"The Judahites marched against the Canaanites who dwelt in Hebron, and they defeated Sheshai, Ahiman, and Talmai. (The name of Hebron was formerly Kiriath-arba.) ",Ninguno
Judges,1,11,וילך משם אליושבי דביר ושםדביר לפנים קריתספר,From there they marched against the inhabitants of Debir (the name of Debir was formerly Kiriath-sepher).,Ninguno
Judges,1,12,ויאמר כלב אשריכה אתקריתספר ולכדה ונתתי לו אתעכסה בתי לאשה,"And Caleb announced, “I will give my daughter Achsah in marriage to the man who attacks and captures Kiriath-sepher.” ",Ninguno
Judges,1,13,וילכדה עתניאל בןקנז אחי כלב הקטן ממנו ויתןלו אתעכסה בתו לאשה,"His younger kinsman,akinsman Or “brother.” Othniel the Kenizzite,bKenizzite Cf. Josh. 14.6, 14. captured it; and Caleb gave him his daughter Achsah in marriage. ",Ninguno
Judges,1,14,ויהי בבואה ותסיתהו לשאל מאתאביה השדה ותצנח מעל החמור ויאמרלה כלב מהלך,"When she came [to him], she induced him to ask her father for some property. She dismounted from her donkey, and Caleb asked her, “What is the matter?” ",Ninguno
Judges,1,15,"ותאמר לו הבהלי ברכה כי ארץ הנגב נתתני ונתתה לי גלת מים ויתןלה כלב את גלת עלית ואת גלת תחתית&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","She replied, “Give me a present, for you have given me away as Negeb-land; give me springs of water.” And Caleb gave her Upper and Lower Gulloth.cWhen she came … Gulloth Cf. Josh. 15.18–19 and notes. ",Ninguno
Judges,1,16,ובני קיני חתן משה עלו מעיר התמרים אתבני יהודה מדבר יהודה אשר בנגב ערד וילך וישב אתהעם,"The descendants of the Kenite, the father-in-law of Moses, went up with the Judahites from the City of Palms to the wilderness of Judah; and they went and settled among the peopledpeople Meaning of Heb. uncertain. Emendation yields “Amalekites”; cf. 1 Sam. 15.6. in the Negeb of Arad. ",Ninguno
Judges,1,17,וילך יהודה אתשמעון אחיו ויכו אתהכנעני יושב צפת ויחרימו אותה ויקרא אתשםהעיר חרמה,"And Judah with its brother-tribe Simeon went on and defeated the Canaanites who dwelt in Zephath. They proscribed it, and so the town was named Hormah.eHormah I.e., “Proscribed.” Cf. notes at Num. 21.2–3. ",Ninguno
Judges,1,18,וילכד יהודה אתעזה ואתגבולה ואתאשקלון ואתגבולה ואתעקרון ואתגבולה,"And Judah capturedfAnd Judah captured Septuagint reads “But Judah did not capture Gaza….” Gaza is in the coastal plain referred to in v. 19. Gaza and its territory, Ashkelon and its territory, and Ekron and its territory.",Ninguno
Judges,1,19,ויהי יהוה אתיהודה וירש אתההר כי לא להוריש אתישבי העמק כירכב ברזל להם," 
GOD
 was with Judah, so that they took possession of the hill country; but they were not able to dispossess the inhabitants of the plain, for they had iron chariots. ",Ninguno
Judges,1,20,ויתנו לכלב אתחברון כאשר דבר משה ויורש משם אתשלשה בני הענק,"They gave Hebron to Caleb, as Moses had promised; and he drove the three Anakites out of there. ",Ninguno
Judges,1,21,"ואתהיבוסי ישב ירושל͏ם לא הורישו בני בנימן וישב היבוסי אתבני בנימן בירושל͏ם עד היום הזה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",The Benjaminites did not dispossess the Jebusite inhabitants of Jerusalem; so the Jebusites have dwelt with the Benjaminites in Jerusalem to this day.,Ninguno
Judges,1,22,ויעלו ביתיוסף גםהם ביתאל ויהוה עמם,"The House of Joseph, for their part, advanced against Bethel, and GOD was with them. ",Ninguno
Judges,1,23,ויתירו ביתיוסף בביתאל ושםהעיר לפנים לוז,"While the House of Joseph were scouting at Bethel (the name of the town was formerly Luz), ",Ninguno
Judges,1,24,ויראו השמרים איש יוצא מןהעיר ויאמרו לו הראנו נא אתמבוא העיר ועשינו עמך חסד,"their patrolsgpatrols Lit. “watchmen.” saw someone leaving the town. They said to him, “Just show us how to get into the town, and we will treat you kindly.” ",Ninguno
Judges,1,25,ויראם אתמבוא העיר ויכו אתהעיר לפיחרב ואתהאיש ואתכלמשפחתו שלחו,"He showed them how to get into the town; they put the town to the sword, but they let the man and all his relatives go free. ",Ninguno
Judges,1,26,"וילך האיש ארץ החתים ויבן עיר ויקרא שמה לוז הוא שמה עד היום הזה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","The man went to the Hittite country. He founded a city and named it Luz, and that has been its name to this day.",Ninguno
Judges,1,27,"ולאהוריש מנשה אתביתשאן ואתבנותיה ואתתענך ואתבנתיה ואת<span class=""mam-kq""><span class=""mam-kq-q"">[יושבי]</span> <span class=""mam-kq-k"">(יושב)</span></span> דור ואתבנותיה ואתיושבי יבלעם ואתבנתיה ואתיושבי מגדו ואתבנותיה ויואל הכנעני לשבת בארץ הזאת","Manasseh did not dispossess [the inhabitants of] Beth-shean and its dependencies, or [of] Taanach and its dependencies, or the inhabitants of Dor and its dependencies, or the inhabitants of Ibleam and its dependencies, or the inhabitants of Megiddo and its dependencies. The Canaanites persisted in dwelling in this region. ",Ninguno
Judges,1,28,"ויהי כיחזק ישראל וישם אתהכנעני למס והוריש לא הורישו&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","And when Israel gained the upper hand, they subjected the Canaanites to forced labor; but they did not dispossess them. ",Ninguno
Judges,1,29,"ואפרים לא הוריש אתהכנעני היושב בגזר וישב הכנעני בקרבו בגזר&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;",Nor did Ephraim dispossess the Canaanites who inhabited Gezer; so the Canaanites dwelt in their midst at Gezer.,Ninguno
Judges,1,30,"זבולן לא הוריש אתיושבי קטרון ואתיושבי נהלל וישב הכנעני בקרבו ויהיו למס&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","Zebulun did not dispossess the inhabitants of Kitron or the inhabitants of Nahalol; so the Canaanites dwelt in their midst, but they were subjected to forced labor. ",Ninguno
Judges,1,31,אשר לא הוריש אתישבי עכו ואתיושבי צידון ואתאחלב ואתאכזיב ואתחלבה ואתאפיק ואתרחב,"Asher did not dispossess the inhabitants of Acco or the inhabitants of Sidon, Ahlab, Achzib, Helbah, Aphik, and Rehob. ",Ninguno
Judges,1,32,"וישב האשרי בקרב הכנעני ישבי הארץ כי לא הורישו&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","So the Asherites dwelt in the midst of the Canaanites, the inhabitants of the land, for they did not dispossess them. ",Ninguno
Judges,1,33,נפתלי לאהוריש אתישבי ביתשמש ואתישבי ביתענת וישב בקרב הכנעני ישבי הארץ וישבי ביתשמש ובית ענת היו להם למס,"Naphtali did not dispossess the inhabitants of Beth-shemesh or the inhabitants of Beth-anath. But they settled in the midst of the Canaanite inhabitants of the land, and the inhabitants of Beth-shemesh and Beth-anath had to perform forced labor for them.",Ninguno
Judges,1,34,וילחצו האמרי אתבנידן ההרה כילא נתנו לרדת לעמק,The Amorites pressed the Danites into the hill country; they would not let them come down to the plain.,Ninguno
Judges,1,35,ויואל האמרי לשבת בהרחרס באילון ובשעלבים ותכבד יד ביתיוסף ויהיו למס,"The Amorites also persisted in dwelling in Har-heres, in Aijalon, and in Shaalbim. But the hand of the House of Joseph bore heavily on them and they had to perform forced labor. ",Ninguno
Judges,1,36,"וגבול האמרי ממעלה עקרבים מהסלע ומעלה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",The territory of the AmoriteshAmorites Some Septuagint mss. read “Edomites.” extended from the Ascent of Akrabbim—from Sela—onward.,Ninguno
Judges,2,1,"ויעל מלאךיהוה מןהגלגל אלהבכים&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>ויאמר אעלה אתכם ממצרים ואביא אתכם אלהארץ אשר נשבעתי לאבתיכם ואמר לאאפר בריתי אתכם לעולם","An angelaAn angel Lit. “a messenger.” of GOD came up from Gilgal to Bochim and said, “I brought you up from Egypt and I took you into the land that I had promised on oath to your fathers.bfathers See note at Josh. 1.6. And I said, ‘I will never break My covenant with you. ",Ninguno
Judges,2,2,ואתם לאתכרתו ברית ליושבי הארץ הזאת מזבחותיהם תתצון ולאשמעתם בקולי מהזאת עשיתם,"And you, for your part, must make no covenant with the inhabitants of this land; you must tear down their altars.’ But you have not obeyed Me—look what you have done! ",Ninguno
Judges,2,3,וגם אמרתי לאאגרש אותם מפניכם והיו לכם לצדים ואלהיהם יהיו לכם למוקש,"Therefore, I have resolved not to drive them out before you; they shall become your oppressors,coppressors So Targum and other ancient versions. Meaning of Heb. uncertain. and their gods shall be a snare to you.” ",Ninguno
Judges,2,4,ויהי כדבר מלאך יהוה אתהדברים האלה אלכלבני ישראל וישאו העם אתקולם ויבכו,"As the angel of GOD spoke these words to all the Israelites, the people broke into weeping. ",Ninguno
Judges,2,5,"ויקראו שםהמקום ההוא בכים ויזבחושם ליהוה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","So they named that place Bochim,dBochim I.e., “weepers.” and they offered sacrifices there to GOD.",Ninguno
Judges,2,6,וישלח יהושע אתהעם וילכו בניישראל איש לנחלתו לרשת אתהארץ,"When Joshua dismissed the people, the Israelites went to their allotted territories and took possession of the land. ",Ninguno
Judges,2,7,ויעבדו העם אתיהוה כל ימי יהושע וכל&thinsp;<b></b> ימי הזקנים אשר האריכו ימים אחרי יהושוע אשר ראו את כלמעשה יהוה הגדול אשר עשה לישראל,The people served GOD during the lifetime of Joshua and the lifetime of the older people who lived on after Joshua and who had witnessed all the marvelous deeds that GOD had wrought for Israel.,Ninguno
Judges,2,8,וימת יהושע בןנון עבד יהוה בןמאה ועשר שנים,"Joshua son of Nun, the servant of GOD, died at the age of one hundred and ten years, ",Ninguno
Judges,2,9,ויקברו אותו בגבול נחלתו בתמנתחרס בהר אפרים מצפון להרגעש,"and was buried on his own property, at Timnath-hereseTimnath-heres Some mss. read “Timnath-serah”; cf. Josh. 24.30. in the hill country of Ephraim, north of Mount Gaash. ",Ninguno
Judges,2,10,"וגם כלהדור ההוא נאספו אלאבותיו ויקם דור אחר אחריהם אשר לאידעו אתיהוה וגם אתהמעשה אשר עשה לישראל&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","And all that generation were likewise gathered to their ancestors.Another generation arose after them, which had not experienced GOD’s deliverancefwhich had not experienced GOD’s deliverance Lit. “which did not know GOD.” or the deeds that had been wrought for Israel. ",Percepción (Yada)
Judges,2,11,ויעשו בניישראל אתהרע בעיני יהוה ויעבדו אתהבעלים,And the Israelites did what was offensive to GOD. They worshiped the Baalim,Ninguno
Judges,2,12,ויעזבו אתיהוה&thinsp;<b></b> אלהי אבותם המוציא אותם מארץ מצרים וילכו אחרי&thinsp;<b></b> אלהים אחרים מאלהי העמים אשר סביבותיהם וישתחוו להם ויכעסו אתיהוה,"and forsook the ETERNAL, the God of their ancestors, who had brought them out of the land of Egypt. They followed other gods, from among the gods of the peoples around them, and bowed down to them; they provoked GOD. ",Ninguno
