Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Ezekiel,1,1,ויהי&thinsp;<b></b> בשלשים שנה ברביעי בחמשה לחדש ואני בתוךהגולה עלנהרכבר נפתחו השמים ואראה מראות אלהים,"In the thirtieth year,athe thirtieth year We do not know the 30th of what. on the fifth day of the fourth month, when I was in the community of exiles by the Chebar Canal, the heavens opened and I saw visions of God. ",Ninguno
Ezekiel,1,2,בחמשה לחדש היא השנה החמישית לגלות המלך יויכין,(On the fifth day of the month—it was the fifth year of the exile of King Jehoiachin—,Ninguno
Ezekiel,1,3,היה היה דבריהוה אליחזקאל בןבוזי הכהן בארץ כשדים עלנהרכבר ותהי עליו שם ידיהוה,"the word of GOD came to the priest Ezekiel son of Buzi, by the Chebar Canal, in the land of the Chaldeans. And the hand of GOD came upon him there.)",Ninguno
Ezekiel,1,4,וארא והנה רוח סערה באה מןהצפון ענן גדול ואש מתלקחת ונגהלו סביב ומתוכה כעין החשמל מתוך האש,"I looked, and lo, a stormy wind came sweeping out of the north—a huge cloud and flashing fire, surrounded by a radiance; and in the center of it, in the center of the fire, a gleam as of amber. ",Ninguno
Ezekiel,1,5,ומתוכה דמות ארבע חיות וזה מראיהן דמות אדם להנה,In the center of it were also the figures of four creatures. And this was their appearance:They had the figures of human beings.,Ninguno
Ezekiel,1,6,וארבעה פנים לאחת וארבע כנפים לאחת להם,"However, each had four faces, and each of them had four wings; ",Ninguno
Ezekiel,1,7,ורגליהם רגל ישרה וכף רגליהם ככף רגל עגל ונצצים כעין נחשת קלל,"the legs of each were [fused into] a single rigid leg, and the feet of each were like a single calf’s hoof;blike a single calf’s hoof I.e., cleft in front. and their sparklecsparkle Or “plumage.” was like the luster of burnished bronze. ",Ninguno
Ezekiel,1,8,"<span class=""mam-kq""><span class=""mam-kq-k"">(וידו)</span> <span class=""mam-kq-q"">[וידי]</span></span> אדם מתחת כנפיהם על ארבעת רבעיהם ופניהם וכנפיהם לארבעתם",They had human hands below their wings. The four of them had their faces and their wings on their four sides.,Ninguno
Ezekiel,1,9,חברת אשה אלאחותה כנפיהם לאיסבו בלכתן איש אלעבר פניו ילכו,Each one’s wings touched those of the other. They did not turn when they moved; each could move in the direction of any of its faces.,Ninguno
Ezekiel,1,10,ודמות פניהם פני אדם ופני אריה אלהימין לארבעתם ופנישור מהשמאול לארבעתן ופנינשר לארבעתן,Each of them had a human face [at the front]; each of the four had the face of a lion on the right; each of the four had the face of an ox on the left; and each of the four had the face of an eagle [at the back].,Control/Derecha (Yamin)
Ezekiel,1,11,ופניהם וכנפיהם פרדות מלמעלה לאיש שתים חברות איש ושתים מכסות את גויתיהנה,"Such were their faces. As for their wings, they were separated: above, each had two touching those of the others, while the other two covered its body. ",Ninguno
Ezekiel,1,12,ואיש אלעבר פניו ילכו אל אשר יהיהשמה הרוח ללכת ילכו לא יסבו בלכתן,"And each could move in the direction of any of its faces; they went wherever the spirit impelled them to go, without turning when they moved.",Ninguno
Ezekiel,1,13,ודמות החיות מראיהם כגחליאש בערות כמראה הלפדים היא מתהלכת בין החיות ונגה לאש ומןהאש יוצא ברק,"Such then was the appearance of the creatures. With them was something that looked like burning coals of fire. This fire, suggestive of torches, kept moving about among the creatures; the fire had a radiance, and lightning issued from the fire. ",Separación (Beyn)
Ezekiel,1,14,והחיות רצוא ושוב כמראה הבזק,Dashing to and fro [among] the creatures was something that looked like flares.dDashing to and fro [among] the creatures was something that looked like flares Meaning of Heb. uncertain. ,Ninguno
Ezekiel,1,15,וארא החיות והנה אופן אחד בארץ אצל החיות לארבעת פניו,"As I gazed on the creatures, I saw one wheel on the ground next to each of the four-faced creatures. ",Ninguno
Ezekiel,1,16,מראה האופנים ומעשיהם כעין תרשיש ודמות אחד לארבעתן ומראיהם ומעשיהם כאשר יהיה האופן בתוך האופן,"As for the appearance and structure of the wheels, they gleamed like beryl. All four had the same form; the appearance and structure of each was as of two wheels cutting through each other. ",Ninguno
Ezekiel,1,17,עלארבעת רבעיהן בלכתם ילכו לא יסבו בלכתן,"And when they moved, each could move in the direction of any of its four quarters; they did not veer when they moved. ",Ninguno
Ezekiel,1,18,וגביהן וגבה להם ויראה להם וגבתם מלאת עינים סביב לארבעתן,"Their rims were tall and frightening, for the rims of all four were covered all over with eyes. ",Ninguno
Ezekiel,1,19,ובלכת החיות ילכו האופנים אצלם ובהנשא החיות מעל הארץ ינשאו האופנים,"And when the creatures moved forward, the wheels moved at their sides; and when the creatures were borne above the earth, the wheels were borne too. ",Ninguno
Ezekiel,1,20,על אשר יהיהשם הרוח ללכת ילכו שמה הרוח ללכת והאופנים ינשאו לעמתם כי רוח החיה באופנים,"Wherever the spirit impelled them to go, they went—wherever the spirit impelled them—and the wheels were borne alongside them; for the spirit of the creatures was in the wheels. ",Ninguno
Ezekiel,1,21,בלכתם ילכו ובעמדם יעמדו ובהנשאם מעל הארץ ינשאו האופנים לעמתם כי רוח החיה באופנים,"When those moved, these moved; and when those stood still, these stood still; and when those were borne above the earth, the wheels were borne alongside them—for the spirit of the creatures was in the wheels.",Ninguno
Ezekiel,1,22,ודמות עלראשי החיה רקיע כעין הקרח הנורא נטוי עלראשיהם מלמעלה,"Above the heads of the creatures was a form: an expanse, with an awe-inspiring gleam as of crystal, was spread out above their heads. ",Ninguno
Ezekiel,1,23,ותחת הרקיע כנפיהם ישרות אשה אלאחותה לאיש שתים מכסות להנה ולאיש שתים מכסות להנה את גויתיהם,"Under the expanse, each had one pair of wings extended toward those of the others; and each had another pair covering its body. ",Ninguno
Ezekiel,1,24,ואשמע אתקול כנפיהם כקול מים רבים כקולשדי בלכתם קול המלה כקול מחנה בעמדם תרפינה כנפיהן,"When they moved, I could hear the sound of their wings like the sound of mighty waters, like the sound of Shaddai,eShaddai Traditionally “the Almighty”; see Gen. 17.1. a tumult like the din of an army. When they stood still, they would let their wings droop. ",Ninguno
Ezekiel,1,25,ויהיקול מעל לרקיע אשר עלראשם בעמדם תרפינה כנפיהן,"From above the expanse over their heads came a sound.fFrom above the expanse over their heads came a sound Meaning of Heb. uncertain. When they stood still, they would let their wings droop.",Ninguno
Ezekiel,1,26,וממעל לרקיע אשר עלראשם כמראה אבןספיר דמות כסא ועל דמות הכסא דמות כמראה אדם עליו מלמעלה,"Above the expanse over their heads was the semblance of a throne, in appearance like sapphire; and on top, upon this semblance of a throne, there was the semblance of a human form. ",Ninguno
Ezekiel,1,27,וארא&thinsp;<b></b> כעין חשמל כמראהאש ביתלה סביב ממראה מתניו ולמעלה וממראה מתניו ולמטה ראיתי כמראהאש ונגה לו סביב,"From what appeared as the loins up, I saw a gleam as of amber—what looked like a fire encased in a frame;gwhat looked like a fire encased in a frame Meaning of Heb. uncertain. and from what appeared as the loins down, I saw what looked like fire. There was a surrounding radiance. ",Ninguno
Ezekiel,1,28,"כמראה הקשת אשר יהיה בענן ביום הגשם כן מראה הנגה סביב הוא מראה דמות כבודיהוה ואראה ואפל עלפני ואשמע קול מדבר&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","Like the appearance of the bow that shines in the clouds on a day of rain, such was the appearance of the surrounding radiance. That was the appearance of the semblance of the Presence of GOD. When I beheld it, I flung myself down on my face. And I heard the voice of someone speaking.",Ninguno
Ezekiel,2,1,ויאמר אלי בןאדם עמד עלרגליך ואדבר אתך,"And it said to me, “O mortal, stand up on your feet that I may speak to you.” ",Ninguno
Ezekiel,2,2,"ותבא בי רוח כאשר דבר אלי ותעמדני עלרגלי ואשמע את מדבר אלי&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","As it spoke to me, a spirit entered into me and set me upon my feet; and I heard what was being spoken to me. ",Ninguno
Ezekiel,2,3,ויאמר אלי בןאדם שולח אני אותך אלבני ישראל אלגוים המורדים אשר מרדובי המה ואבותם פשעו בי עדעצם היום הזה,"[God] said to me, “O mortal, I am sending you to the people of Israel, that nation of rebels, who have rebelled against Me.—They as well as their ancestors have defied Me to this very day; ",Ninguno
Ezekiel,2,4,והבנים קשי פנים וחזקילב אני שולח אותך אליהם ואמרת אליהם כה אמר אדני יהוה,"for the descendants are brazen of face and stubborn of heart. I send you to them, and you shall say to them: ‘Thus said the Sovereign GOD’— ",Ninguno
Ezekiel,2,5,"והמה אםישמעו ואםיחדלו כי בית מרי המה וידעו כי נביא היה בתוכם&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","whether they listen or not, for they are a rebellious breed—that they may know that there was a prophet among them.",Percepción (Yada)
Ezekiel,2,6,ואתה בןאדם אלתירא מהם ומדבריהם אלתירא כי סרבים וסלונים אותך ואלעקרבים אתה יושב מדבריהם אלתירא ומפניהם אלתחת כי בית מרי המה,"“And you, mortal, do not fear them and do not fear their words, though thistles and thorns press againstapress against Lit. “are with.” you, and you sit upon scorpions. Do not be afraid of their words and do not be dismayed by them, though they are a rebellious breed; ",Ninguno
