Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Esther,1,1,ויהי בימי אחשורוש הוא אחשורוש המלך מהדו ועדכוש שבע ועשרים ומאה מדינה,It happened in the days of Ahasuerus—that Ahasuerus who reigned over a hundred and twenty-seven provinces from India to Cush.,Ninguno
Esther,1,2,בימים ההם כשבת&thinsp;<b></b> המלך אחשורוש על כסא מלכותו אשר בשושן הבירה,"In those days, when King Ahasuerus occupied the royal throne in the fortressafortress I.e., the fortified city. Shushan, ",Ninguno
Esther,1,3,בשנת שלוש למלכו עשה משתה לכלשריו ועבדיו חיל&thinsp;<b></b> פרס ומדי הפרתמים ושרי המדינות לפניו,"in the third year of his reign, he gave a banquet for all the officials and courtiers—the administration of Persia and Media, the nobles and the governors of the provinces in his service. ",Ninguno
Esther,1,4,בהראתו אתעשר כבוד מלכותו ואתיקר תפארת גדולתו ימים רבים שמונים ומאת יום,For no fewer than a hundred and eighty days he displayed the vast riches of his kingdom and the splendid glory of his majesty.,Ninguno
Esther,1,5,ובמלואת&thinsp;<b></b> הימים האלה עשה המלך לכלהעם הנמצאים בשושן הבירה למגדול ועדקטן משתה שבעת ימים בחצר גנת ביתן המלך,"At the end of this period, the king gave a banquet for seven days in the court of the king’s palace garden for all the people who lived in the fortress Shushan, high and low alike. ",Ninguno
Esther,1,6,<big>ח</big>ור&thinsp;<b></b> כרפס ותכלת אחוז בחבליבוץ וארגמן עלגלילי כסף ועמודי שש מטות&thinsp;<b></b> זהב וכסף על רצפת בהטושש ודר וסחרת,"bMeaning of part of this verse uncertain. [There were hangings of] white cotton and blue wool, caught up by cords of fine linen and purple wool to silver rods and alabaster columns; and there were couches of gold and silver on a pavement of marble, alabaster, mother-of-pearl, and mosaics. ",Ninguno
Esther,1,7,והשקות בכלי זהב וכלים מכלים שונים ויין מלכות רב כיד המלך,"Royal wine was served in abundance, as befits a king, in golden beakers, beakers of varied design. ",Ninguno
Esther,1,8,והשתיה כדת אין אנס כיכן&thinsp;<b></b> יסד המלך על כלרב ביתו לעשות כרצון אישואיש,"And the rule for the drinking was, “No restrictions!”cAnd the rule for the drinking was, “No restrictions!” Or “As for drinking according to the rule—no one enforced it.” For the king had given orders to every palace steward to comply with each man’s wishes. ",Ninguno
Esther,1,9,"גם ושתי המלכה עשתה משתה נשים בית המלכות אשר למלך אחשורוש&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","In addition, Queen Vashti gave a banquet for women, in the royal palacedpalace Or “hall”; cf. 5.1. of King Ahasuerus.",Ninguno
Esther,1,10,ביום השביעי כטוב לבהמלך ביין אמר למהומן בזתא חרבונא בגתא ואבגתא זתר וכרכס שבעת הסריסים המשרתים אתפני המלך אחשורוש,"On the seventh day, when the king was merry with wine, he ordered Mehuman, Bizzetha, Harbona, Bigtha, Abagtha, Zethar, and Carcas, the seven eunuchs in attendance on King Ahasuerus, ",Ninguno
Esther,1,11,להביא אתושתי המלכה לפני המלך בכתר מלכות להראות העמים והשרים אתיפיה כיטובת מראה היא,"to bring Queen Vashti before the king wearing a royal diadem, to display her beauty to the peoples and the officials; for she was a beautiful woman. ",Ninguno
Esther,1,12,ותמאן המלכה ושתי לבוא בדבר המלך אשר ביד הסריסים ויקצף המלך מאד וחמתו בערה בו,"But Queen Vashti refused to come at the king’s command conveyed by the eunuchs. The king was greatly incensed, and his fury burned within him.",Ninguno
Esther,1,13,ויאמר המלך לחכמים ידעי העתים כיכן דבר המלך לפני כלידעי דת ודין,Then the king consulted the sages learned in procedure.eprocedure Lit. “the times.” (For it was the royal practice [to turn] to all who were versed in law and precedent. ,Percepción (Yada)
