Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Genesis,1,1,<big>ב</big>ראשית ברא אלהים את השמים ואת הארץ,When God began to createaWhen God began to create In contrast to others “In the beginning God created.” heaven and earth— ,Ninguno
Genesis,1,2,והארץ היתה תהו ובהו וחשך עלפני תהום ורוח אלהים מרחפת עלפני המים,"the earth being unformed and void, with darkness over the surface of the deep and a wind fromba wind from In contrast to others “the spirit of.” God sweeping over the water— ",Ninguno
Genesis,1,3,ויאמר אלהים יהי אור ויהיאור,"God said, “Let there be light”; and there was light. ",Ninguno
Genesis,1,4,וירא אלהים אתהאור כיטוב ויבדל אלהים בין האור ובין החשך,"God saw that the light was good, and God separated the light from the darkness. ",Separación (Beyn)
Genesis,1,5,"ויקרא אלהים&thinsp;<small></small>&thinsp;לאור יום ולחשך קרא לילה ויהיערב ויהיבקר יום אחד&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","God called the light Day—and called the darkness Night. And there was evening and there was morning, a first day.ca first day In contrast to others “one day.” ",Ninguno
Genesis,1,6,ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים,"God said, “Let there be an expanse in the midst of the water, that it may separate water from water.” ",Separación (Beyn)
Genesis,1,7,ויעש אלהים אתהרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהיכן,"God made the expanse, and it separated the water that was below the expanse from the water that was above the expanse. And it was so. ",Separación (Beyn)
Genesis,1,8,"ויקרא אלהים לרקיע שמים ויהיערב ויהיבקר יום שני&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","God called the expanse Sky. And there was evening and there was morning, a second day.",Ninguno
Genesis,1,9,ויאמר אלהים יקוו המים מתחת השמים אלמקום אחד ותראה היבשה ויהיכן,"God said, “Let the water below the sky be gathered into one area, that the dry land may appear.” And it was so. ",Ninguno
Genesis,1,10,ויקרא אלהים&thinsp;<small></small>&thinsp;ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כיטוב,God called the dry land Earth—and called the gathering of waters Seas. And God saw that this was good.,Ninguno
Genesis,1,11,ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעובו עלהארץ ויהיכן,"And God said, “Let the earth sprout vegetation: seed-bearing plants, fruit trees of every kind on earth that bear fruit with the seed in it.” And it was so. ",Ninguno
Genesis,1,12,ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשהפרי אשר זרעובו למינהו וירא אלהים כיטוב,"The earth brought forth vegetation: seed-bearing plants of every kind, and trees of every kind bearing fruit with the seed in it. And God saw that this was good. ",Ninguno
Genesis,1,13,"ויהיערב ויהיבקר יום שלישי&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","And there was evening and there was morning, a third day.",Ninguno
Genesis,1,14,ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים,"God said, “Let there be lights in the expanse of the sky to separate day from night; they shall serve as signs for the set times—the days and the years; ",Separación (Beyn)
Genesis,1,15,והיו למאורת ברקיע השמים להאיר עלהארץ ויהיכן,and they shall serve as lights in the expanse of the sky to shine upon the earth.” And it was so.,Ninguno
Genesis,1,16,ויעש אלהים אתשני המארת הגדלים אתהמאור הגדל לממשלת היום ואתהמאור הקטן לממשלת הלילה ואת הכוכבים,"God made the two great lights, the greater light to dominate the day and the lesser light to dominate the night, and the stars. ",Ninguno
Genesis,1,17,ויתן אתם אלהים ברקיע השמים להאיר עלהארץ,"And God set them in the expanse of the sky to shine upon the earth, ",Ninguno
Genesis,1,18,ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כיטוב,"to dominate the day and the night, and to separate light from darkness. And God saw that this was good. ",Separación (Beyn)
Genesis,1,19,"ויהיערב ויהיבקר יום רביעי&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","And there was evening and there was morning, a fourth day.",Ninguno
Genesis,1,20,ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף עלהארץ עלפני רקיע השמים,"God said, “Let the waters bring forth swarms of living creatures, and birds that fly above the earth across the expanse of the sky.” ",Ninguno
Genesis,1,21,ויברא אלהים אתהתנינם הגדלים ואת כלנפש החיה&thinsp;<small></small>&thinsp;הרמשת אשר שרצו המים למינהם ואת כלעוף כנף למינהו וירא אלהים כיטוב,"God created the great sea monsters, and all the living creatures of every kind that creep, which the waters brought forth in swarms, and all the winged birds of every kind. And God saw that this was good. ",Ninguno
Genesis,1,22,ויברך אתם אלהים לאמר פרו ורבו ומלאו אתהמים בימים והעוף ירב בארץ,"God blessed them, saying, “Be fertile and increase, fill the waters in the seas, and let the birds increase on the earth.” ",Ninguno
Genesis,1,23,"ויהיערב ויהיבקר יום חמישי&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","And there was evening and there was morning, a fifth day.",Ninguno
Genesis,1,24,ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתוארץ למינה ויהיכן,"God said, “Let the earth bring forth every kind of living creature: cattle, creeping things, and wild beasts of every kind.” And it was so. ",Ninguno
Genesis,1,25,ויעש אלהים אתחית הארץ למינה ואתהבהמה למינה ואת כלרמש האדמה למינהו וירא אלהים כיטוב,"God made wild beasts of every kind and cattle of every kind, and all kinds of creeping things of the earth. And God saw that this was good. ",Ninguno
Genesis,1,26,ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכלהארץ ובכלהרמש הרמש עלהארץ,"And God said, “Let us make humankind in our image, after our likeness. They shall rule the fish of the sea, the birds of the sky, the cattle, the whole earth, and all the creeping things that creep on earth.”",Ninguno
Genesis,1,27,ויברא אלהים&thinsp;<small></small>&thinsp;אתהאדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם,"And God created humankind in the divine image,creating it in the image of God—creating them male and female.",Ninguno
Genesis,1,28,ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו אתהארץ וכבשה ורדו בדגת הים ובעוף השמים ובכלחיה הרמשת עלהארץ,"God blessed them and God said to them, “Be fertile and increase, fill the earth and master it; and rule the fish of the sea, the birds of the sky, and all the living things that creep on earth.”",Ninguno
Genesis,1,29,ויאמר אלהים הנה נתתי לכם אתכלעשב&thinsp;<b></b> זרע זרע אשר עלפני כלהארץ ואתכלהעץ אשרבו פריעץ זרע זרע לכם יהיה לאכלה,"God said, “See, I give you every seed-bearing plant that is upon all the earth, and every tree that has seed-bearing fruit; they shall be yours for food. ",Ninguno
Genesis,1,30,ולכלחית הארץ ולכלעוף השמים ולכל&thinsp;<b></b> רומש עלהארץ אשרבו נפש חיה אתכלירק עשב לאכלה ויהיכן,"And to all the animals on land, to all the birds of the sky, and to everything that creeps on earth, in which there is the breath of life, [I give] all the green plants for food.” And it was so. ",Ninguno
Genesis,1,31,"וירא אלהים אתכלאשר עשה והנהטוב מאד ויהיערב ויהיבקר יום הששי&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","And God saw all that had been made, and found it very good. And there was evening and there was morning, the sixth day.",Ninguno
Genesis,2,1,ויכלו השמים והארץ וכלצבאם,"The heaven and the earth were finished, and all their array. ",Ninguno
Genesis,2,2,ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכלמלאכתו אשר עשה,"On the seventh day God finished the work that had been undertaken, ceasingaceasing Or “resting.” on the seventh day from doing any of the work. ",Ninguno
Genesis,2,3,"ויברך אלהים אתיום השביעי ויקדש אתו כי בו שבת מכלמלאכתו אשרברא אלהים לעשות&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>",And God blessed the seventh day and declared it holy—having ceased on it from all the work of creation that God had done.,Ninguno
Genesis,2,4,אלה תולדות השמים והארץ ב<small>ה</small>בראם ביום עשות יהוה אלהים ארץ ושמים,Such is the story of heaven and earth when they were created.When the ETERNAL God made earth and heaven—,Ninguno
Genesis,2,5,וכל&thinsp;<b></b> שיח השדה טרם יהיה בארץ וכלעשב השדה טרם יצמח כי לא המטיר יהוה אלהים עלהארץ ואדם אין לעבד אתהאדמה,"when no shrub of the fieldbshrub of the field I.e., suitable for pasturage. was yet on earth and no grasses of the fieldcgrasses of the field I.e., cereal grasses, suitable as crops. had yet sprouted, because the ETERNAL God had not sent rain upon the earth and there were no human beings to till the soil, ",Ninguno
Genesis,2,6,ואד יעלה מןהארץ והשקה אתכלפני האדמה,but a flow would well up from the ground and water the whole surface of the earth—,Ninguno
Genesis,2,7,וייצר יהוה אלהים אתהאדם עפר מןהאדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה,"the ETERNAL God formed a Humanda Human Heb. ha-ʼadam. Although this term is not gendered, to the ancient audience it went without saying that the progenitor of all human lineages was a male. from the soil’s humus,efrom the soil’s humus Heb. ʻaphar min ha-ʼadamah. blowing into his nostrils the breath of life: the Human became a living being.",Ninguno
Genesis,2,8,ויטע יהוה אלהים גןבעדן מקדם וישם שם אתהאדם אשר יצר,"The ETERNAL God planted a garden in Eden, in the east, and placed there the Human who had been fashioned. ",Ninguno
Genesis,2,9,ויצמח יהוה אלהים מןהאדמה כלעץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע,"And from the ground the ETERNAL God caused to grow every tree that was pleasing to the sight and good for food, with the tree of life in the middle of the garden, and the tree of knowledge of good and bad.",Ninguno
Genesis,2,10,ונהר יצא מעדן להשקות אתהגן ומשם יפרד והיה לארבעה ראשים,"A river issues from Eden to water the garden, and it then divides and becomes four branches. ",Ninguno
Genesis,2,11,שם האחד פישון הוא הסבב את כלארץ החוילה אשרשם הזהב,"The name of the first is Pishon, the one that winds through the whole land of Havilah, where the gold is. ",Ninguno
Genesis,2,12,וזהב הארץ ההוא טוב שם הבדלח ואבן השהם,"(The gold of that land is good; bdellium is there, and lapis lazuli.flapis lazuli In contrast to others “onyx”; meaning of Heb. shoham uncertain.) ",Ninguno
Genesis,2,13,ושםהנהר השני גיחון הוא הסובב את כלארץ כוש,"The name of the second river is Gihon, the one that winds through the whole land of Cush. ",Ninguno
Genesis,2,14,ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת,"The name of the third river is Tigris, the one that flows east of Asshur. And the fourth river is the Euphrates.",Ninguno
Genesis,2,15,ויקח יהוה אלהים אתהאדם וינחהו בגןעדן לעבדה ולשמרה,"The ETERNAL God settled the Human in the garden of Eden, to till it and tend it. ",Ninguno
Genesis,2,16,ויצו יהוה אלהים עלהאדם לאמר מכל עץהגן אכל תאכל,"And the ETERNAL God commanded the Human, saying, “Of every tree of the garden you are free to eat; ",Ninguno
Genesis,2,17,ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות,"but as for the tree of knowledge of good and bad, you must not eat of it; for as soon as you eat of it, you shall die.”",Ninguno
Genesis,2,18,ויאמר יהוה אלהים לאטוב היות האדם לבדו אעשהלו עזר כנגדו,"The ETERNAL God said, “It is not good for the Human to be alone; I will make a fitting counterpart for him.” ",Ninguno
Genesis,2,19,ויצר יהוה אלהים מןהאדמה כלחית השדה ואת כלעוף השמים ויבא אלהאדם לראות מהיקראלו וכל אשר יקראלו האדם נפש חיה הוא שמו,"And the ETERNAL God formed out of the earth all the wild beasts and all the birds of the sky, and brought them to the Human to see what he would call them; and whatever the Human called each living creature, that would be its name. ",Ninguno
Genesis,2,20,ויקרא האדם שמות לכלהבהמה ולעוף השמים ולכל חית השדה ולאדם לאמצא עזר כנגדו,And the Human gave names to all the cattle and to the birds of the sky and to all the wild beasts; but no fitting counterpart for a human being was found.,Ninguno
Genesis,2,21,ויפל יהוה אלהים&thinsp;<small></small>&thinsp;תרדמה עלהאדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה,"So the ETERNAL God cast a deep sleep upon the Human; and, while he slept, [God] took one of his sidesgsides So Septuagint and Ibn Ezra; trad. “ribs.” and closed up the flesh at that site. ",Ninguno
Genesis,2,22,ויבן יהוה אלהים&thinsp;<small></small>&thinsp;אתהצלע אשרלקח מןהאדם לאשה ויבאה אלהאדם,"And the ETERNAL God fashioned the side that had been taken from the Human into a woman, bringing her to the Human.",Ninguno
Genesis,2,23,ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחהזאת,"Then the Human said,“This one at lastIs bone of my bonesAnd flesh of my flesh.This one shall be called the Woman,hthe Woman Heb. ʼishshah; i.e., the unique female participant in the situation. For from the Manithe Man Heb. ʼish; i.e., the sole (and male) participant in the original situation. was she taken.”",Ninguno
Genesis,2,24,עלכן יעזבאיש אתאביו ואתאמו ודבק באשתו והיו לבשר אחד,"Hence a manja man Heb. ʼish. leaves his father and mother and clings to his wife,khis wife Heb. ʼishto, from ʼishshah. so that they become one flesh.",Ninguno
Genesis,2,25,ויהיו שניהם ערומים האדם ואשתו ולא יתבששו,"The two of them were naked,lnaked Heb. ʻarummim, play on ʻarum “shrewd” in 3.1. the Human and his wife, yet they felt no shame.",Ninguno
Genesis,3,1,והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אלהאשה אף כיאמר אלהים לא תאכלו מכל עץ הגן,"Now the serpent was the shrewdest of all the wild beasts that the ETERNAL God had made. It said to the woman, “Did God really say: You shall not eat of any tree of the garden?” ",Ninguno
Genesis,3,2,ותאמר האשה אלהנחש מפרי עץהגן נאכל,"The woman replied to the serpent, “We may eat of the fruit of the other trees of the garden. ",Ninguno
Genesis,3,3,ומפרי העץ אשר בתוךהגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פןתמתון,"It is only about fruit of the tree in the middle of the garden that God said: ‘You shall not eat of it or touch it, lest you die.’” ",Ninguno
Genesis,3,4,ויאמר הנחש אלהאשה לאמות תמתון,"And the serpent said to the woman, “You are not going to die, ",Ninguno
Genesis,3,5,כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע,"but God knows that as soon as you eat of it your eyes will be opened and you will be like divine beings who knowadivine beings who know In contrast to others “God, who knows.” good and bad.” ",Percepción (Yada)
Genesis,3,6,ותרא האשה כי טוב העץ למאכל וכי תאוההוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גםלאישה עמה ויאכל,"When the woman saw that the tree was good for eating and a delight to the eyes, and that the tree was desirable as a source of wisdom, she took of its fruit and ate. She also gave some to her husband, and he ate. ",Ninguno
Genesis,3,7,ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת,Then the eyes of both of them were opened and they perceived that they were naked; and they sewed together fig leaves and made themselves loincloths.,Percepción (Yada)
Genesis,3,8,וישמעו אתקול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן,They heard the sound of the ETERNAL God moving about in the garden at the breezy time of day; and the Human and his wife hid from the ETERNAL God among the trees of the garden.,Ninguno
Genesis,3,9,ויקרא יהוה אלהים אלהאדם ויאמר לו איכה,"The ETERNAL God called out to the Human and said to him, “Where are you?” ",Ninguno
Genesis,3,10,ויאמר אתקלך שמעתי בגן ואירא כיעירם אנכי ואחבא,"He replied, “I heard the sound of You in the garden, and I was afraid because I was naked, so I hid.”",Ninguno
Genesis,3,11,ויאמר מי הגיד לך כי עירם אתה המןהעץ אשר צויתיך לבלתי אכלממנו אכלת,“Who told you that you were naked? Did you eat of the tree from which I had forbidden you to eat?”,Ninguno
Genesis,3,12,ויאמר האדם האשה אשר נתתה עמדי הוא נתנהלי מןהעץ ואכל,"The Human said, “The woman You put at my side—she gave me of the tree, and I ate.”",Ninguno
Genesis,3,13,ויאמר יהוה אלהים לאשה מהזאת עשית ותאמר האשה הנחש השיאני ואכל,"And the ETERNAL God said to the woman, “What is this you have done!” The woman replied, “The serpent duped me, and I ate.”",Ninguno
Genesis,3,14,ויאמר יהוה אלהים&thinsp;<small></small>&thinsp;אלהנחש כי עשית זאת ארור אתה מכלהבהמה ומכל חית השדה עלגחנך תלך ועפר תאכל כלימי חייך,"Then the ETERNAL God said to the serpent,“Because you did this,More cursed shall you beThan all cattleAnd all the wild beasts:On your belly shall you crawlAnd dirt shall you eatAll the days of your life.",Ninguno
Genesis,3,15,"ואיבה&thinsp;<b></b> אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב&nbsp;<span class=""mam-spi-samekh"">{ס}</span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","I will put enmityBetween you and the woman,And between your offspring and hers;They shall strike at your head,And you shall strike at their heel.”",Separación (Beyn)
