Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Amos,1,1,דברי עמוס אשרהיה בנקדים מתקוע אשר חזה עלישראל בימי&thinsp;<b></b> עזיה מלךיהודה ובימי ירבעם בןיואש מלך ישראל שנתים לפני הרעש,"The words of Amos, a sheep breeder from Tekoa, who prophesied concerning Israel in the reigns of Kings Uzziah of Judah and Jeroboam son of Joash of Israel, two years before the earthquake.athe earthquake See Zech. 14.5. ",Ninguno
Amos,1,2,"ויאמר&thinsp;<b></b> יהוה מציון ישאג ומירושל͏ם יתן קולו ואבלו נאות הרעים ויבש ראש הכרמל&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","He proclaimed: 
GOD
  roars from Zion,Shouts aloud from Jerusalem;And the pastures of the shepherds shall languish,And the summit of Carmel shall wither.",Ninguno
Amos,1,3,כה אמר יהוה עלשלשה פשעי דמשק ועלארבעה לא אשיבנו עלדושם בחרצות הברזל אתהגלעד,"Thus said  GOD:For three transgressions of Damascus,For four, I will not revoke the decree:bthe decree Of punishment. Heb. “it.” Because they threshed GileadWith threshing boards of iron.",Ninguno
Amos,1,4,ושלחתי אש בבית חזאל ואכלה ארמנות בןהדד,"I will send down firecsend down fire Cf. Lam. 1.13. upon the palace of Hazael,And it shall devour the fortresses of Ben-hadad.dHazael…Ben-hadad Two of Aram’s kings; cf. 2 Kings 13.22–25. ",Ninguno
Amos,1,5,"ושברתי בריח דמשק והכרתי יושב מבקעתאון ותומך שבט מבית עדן וגלו עםארם קירה אמר יהוה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","I will break the gate bars of Damascus,And wipe out the inhabitants from the Vale of AvenAnd the sceptered ruler of Beth-eden;And the people of Aram shall be exiled to Kir—said  GOD.",Ninguno
Amos,1,6,כה אמר יהוה עלשלשה פשעי עזה ועלארבעה לא אשיבנו עלהגלותם גלות שלמה להסגיר לאדום,"Thus said  GOD:For three transgressions of Gaza,For four, I will not revoke the decree:ethe decree See note at v. 3. Because they exiledfexiled I.e., cooperated in the annexation of Israelite territory; cf. Jer. 13.19 with note. an entire population,Which they delivered to Edom.gEdom Emendation yields “Aram”; cf. Isa. 9.11. ",Ninguno
Amos,1,7,ושלחתי אש בחומת עזה ואכלה ארמנתיה,"I will send down fire upon the wall of Gaza,And it shall devour its fortresses;",Ninguno
Amos,1,8,"והכרתי יושב מאשדוד ותומך שבט מאשקלון והשיבותי ידי עלעקרון ואבדו שארית פלשתים אמר אדני יהוה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","And I will wipe out the inhabitants of AshdodAnd the sceptered ruler of Ashkelon;And I will turn My hand against Ekron,And the Philistines shall perish with no remnant—said the Sovereign  GOD.",Ninguno
Amos,1,9,כה אמר יהוה עלשלשה פשעיצר ועלארבעה לא אשיבנו עלהסגירם גלות שלמה לאדום ולא זכרו ברית אחים,"Thus said  GOD:For three transgressions of Tyre,For four, I will not revoke the decree:hthe decree See note at v. 3. Because they handed overAn entire population to Edom,iEdom Emendation yields “Aram.” Ignoring the covenant of brotherhood.jcovenant of brotherhood I.e., the alliance between kings of similar social stature. Cf. 1 Kings 5.26; 9.12–13; and see note at 20.32. ",Ninguno
Amos,1,10,"ושלחתי אש בחומת צר ואכלה ארמנותיה&nbsp;<span class=""mam-spi-pe"">{פ}</span><br>","I will send down fire upon the wall of Tyre,And it shall devour its fortresses.",Ninguno
