Libro,Capitulo,Versiculo,Hebreo_Limpio,Traduccion,Conceptos_Matriz
Ruth,1,1,ויהי בימי שפט השפטים ויהי רעב בארץ וילך איש מבית לחם יהודה לגור בשדי מואב הוא ואשתו ושני בניו,"In the days when the chieftainsachieftains I.e., the leaders who arose in the period before the monarchy; in contrast to others “judges.” ruled, there was a famine in the land; and a man from Bethlehem in Judah, with his wife and two sons, went to reside in the country of Moab. ",Ninguno
Ruth,1,2,ושם האיש אלימלך ושם אשתו נעמי ושם שניבניו&thinsp;<b></b> מחלון וכליון אפרתים מבית לחם יהודה ויבאו שדימואב ויהיושם,"The man’s name was Elimelech, his wife’s name was Naomi, and his two sons were named Mahlon and Chilion—Ephrathites of Bethlehem in Judah. They came to the country of Moab and remained there.",Ninguno
Ruth,1,3,וימת אלימלך איש נעמי ותשאר היא ושני בניה,"Elimelech, Naomi’s husband, died; and she was left with her two sons. ",Ninguno
Ruth,1,4,וישאו להם נשים מאביות שם האחת ערפה ושם השנית רות וישבו שם כעשר שנים,"They married Moabite women, one named Orpah and the other Ruth, and they lived there about ten years. ",Ninguno
Ruth,1,5,וימתו גםשניהם מחלון וכליון ותשאר האשה משני ילדיה ומאישה,Then those two—Mahlon and Chilion—also died; so the woman was left without her two sons and without her husband.,Ninguno
Ruth,1,6,ותקם היא וכלתיה ותשב משדי מואב כי שמעה בשדה מואב כיפקד יהוה אתעמו לתת להם לחם,She started out with her daughters-in-law to return from the country of Moab; for in the country of Moab she had heard that GOD had taken note of the people [of Israel] and given them food.,Ninguno
Ruth,1,7,ותצא מןהמקום אשר היתהשמה ושתי כלותיה עמה ותלכנה בדרך לשוב אלארץ יהודה,"Accompanied by her two daughters-in-law, she left the place where she had been living; and they set out on the road back to the land of Judah.",Ninguno
Ruth,1,8,"ותאמר נעמי לשתי כלתיה לכנה שבנה אשה לבית אמה <span class=""mam-kq""><span class=""mam-kq-k"">(יעשה)</span> <span class=""mam-kq-q"">[יעש]</span></span> יהוה עמכם חסד כאשר עשיתם עםהמתים ועמדי","But Naomi said to her two daughters-in-law, “Turn back, each of you to her mother’s house. May GOD deal kindly with you, as you have dealt with the dead and with me! ",Ninguno
Ruth,1,9,יתן יהוה לכם ומצאן מנוחה אשה בית אישה ותשק להן ותשאנה קולן ותבכינה,May GOD grant that each of you find security in the house of a husband!” And she kissed them farewell. They broke into weeping,Ninguno
Ruth,1,10,ותאמרנהלה כיאתך נשוב לעמך,"and said to her, “No, we will return with you to your people.”",Ninguno
Ruth,1,11,ותאמר נעמי שבנה בנתי למה תלכנה עמי העודלי בנים במעי והיו לכם לאנשים,"But Naomi replied, “Turn back, my daughters! Why should you go with me? Have I any more sons in my body who might be husbands for you? ",Ninguno
Ruth,1,12,שבנה בנתי לכן כי זקנתי מהיות לאיש כי אמרתי ישלי תקוה גם הייתי הלילה לאיש וגם ילדתי בנים,"Turn back, my daughters, for I am too old to be married. Even if I thought there was hope for me, even if I were married tonight and I also bore sons, ",Ninguno
Ruth,1,13,הלהן&thinsp;<b></b> תשברנה עד אשר יגדלו הלהן תעגנה לבלתי היות לאיש אל בנתי כימרלי מאד מכם כייצאה בי ידיהוה,"should you wait for them to grow up? Should you on their account debar yourselves from marriage? Oh no, my daughters! My lot is far more bitter than yours, for GOD’s hand has struck out against me.”",Ninguno
Ruth,1,14,ותשנה קולן ותבכינה עוד ותשק ערפה לחמותה ורות דבקה בה,"They broke into weeping again, and Orpah kissed her mother-in-law farewell. But Ruth clung to her. ",Ninguno
Ruth,1,15,ותאמר הנה שבה יבמתך אלעמה ואלאלהיה שובי אחרי יבמתך,"So she said, “See, your sister-in-law has returned to her people and her gods. Go follow your sister-in-law.” ",Ninguno
Ruth,1,16,ותאמר רות אלתפגעיבי לעזבך לשוב מאחריך כי אלאשר תלכי אלך ובאשר תליני אלין עמך עמי ואלהיך אלהי,"But Ruth replied, “Do not urge me to leave you, to turn back and not follow you. For wherever you go, I will go; wherever you lodge, I will lodge; your people shall be my people, and your God my God. ",Ninguno
Ruth,1,17,באשר תמותי אמות ושם אקבר כה יעשה יהוה לי וכה יוסיף כי המות יפריד ביני ובינך,"Where you die, I will die, and there I will be buried. Thus and more may GOD do to mebThus and more may GOD do to me A formula of imprecation. if anything but death parts me from you.” ",Ninguno
Ruth,1,18,ותרא כימתאמצת היא ללכת אתה ותחדל לדבר אליה,"When [Naomi] saw how determined she was to go with her, she ceased to argue with her; ",Ninguno
Ruth,1,19,ותלכנה שתיהם עדבואנה בית לחם ויהי כבואנה בית לחם ותהם כלהעיר עליהן ותאמרנה הזאת נעמי,"and the two went on until they reached Bethlehem.When they arrived in Bethlehem, the whole city buzzed with excitement over them. The women said, “Can this be Naomi?” ",Ninguno
Ruth,1,20,ותאמר אליהן אלתקראנה לי נעמי קראן לי מרא כיהמר שדי לי מאד,"“Do not call me Naomi,”cNaomi I.e., “Pleasantness.” she replied. “Call me Mara,dMara I.e., “Bitterness.” for ShaddaieShaddai Usually rendered “the Almighty.” has made my lot very bitter. ",Ninguno
Ruth,1,21,אני מלאה הלכתי וריקם השיבני יהוה למה תקראנה לי נעמי ויהוה ענה בי ושדי הרע לי,"I went away full, and GOD has brought me back empty. How can you call me Naomi, when GOD has dealt harshly withfdealt harshly with In contrast to others “testified against.” me, when Shaddai has brought misfortune upon me!”",Ninguno
Ruth,1,22,ותשב נעמי ורות המואביה כלתה עמה השבה משדי מואב והמה באו בית לחם בתחלת קציר שערים,Thus Naomi returned from the country of Moab; she returned with her daughter-in-law Ruth the Moabite. They arrived in Bethlehem at the beginning of the barley harvest.,Ninguno
